
Season,Team,Lg,Salary
1996-97,Los Angeles Lakers,NBA,$1015000
1997-98,Los Angeles Lakers,NBA,$1167240
1998-99,Los Angeles Lakers,NBA,$1319000
1999-00,Los Angeles Lakers,NBA,$9000000
2000-01,Los Angeles Lakers,NBA,$10130000
2001-02,Los Angeles Lakers,NBA,$11250000
2002-03,Los Angeles Lakers,NBA,$12375000
2003-04,Los Angeles Lakers,NBA,$13500000
2004-05,Los Angeles Lakers,NBA,$14175000
2005-06,Los Angeles Lakers,NBA,$15946875
2006-07,Los Angeles Lakers,NBA,$17718750
2007-08,Los Angeles Lakers,NBA,$19490625
2008-09,Los Angeles Lakers,NBA,$21262500
2009-10,Los Angeles Lakers,NBA,$23034375
2010-11,Los Angeles Lakers,NBA,$24806250
2011-12,Los Angeles Lakers,NBA,$25244493
2012-13,Los Angeles Lakers,NBA,$27849149
2013-14,Los Angeles Lakers,NBA,$30453805
2014-15,Los Angeles Lakers,NBA,$23500000
Career,(may be incomplete),,$303238062
