
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
1994*,21,IND,RB,28,16,16,314,1282,11,52,4.1,80.1,19.6,74,52,522,10.0,1,85,3.3,32.6,1804,12,5,16
1995*,22,IND,RB,28,16,16,289,1078,11,40,3.7,67.4,18.1,74,56,475,8.5,3,34,3.5,29.7,1553,14,8,13
1996,23,IND,RB,28,13,13,198,587,7,43,3.0,45.2,15.2,80,56,428,7.6,0,30,4.3,32.9,1015,7,2,9
1997,24,IND,RB,28,16,16,264,1054,7,45,4.0,65.9,16.5,73,47,471,10.0,1,58,2.9,29.4,1525,8,5,12
1998*,25,IND,RB,28,16,15,324,1319,6,68,4.1,82.4,20.3,106,86,908,10.6,4,78,5.4,56.8,2227,10,3,18
1999*+,26,STL,RB,28,16,16,253,1381,7,58,5.5,86.3,15.8,103,87,1048,12.0,5,57,5.4,65.5,2429,12,2,25
2000*+,27,STL,RB,28,14,14,253,1359,18,36,5.4,97.1,18.1,113,81,830,10.2,8,72,5.8,59.3,2189,26,0,22
2001*+,28,STL,RB,28,14,14,260,1382,12,71,5.3,98.7,18.6,104,83,765,9.2,9,65,5.9,54.6,2147,21,3,22
2002*,29,STL,RB,28,14,10,212,953,8,44,4.5,68.1,15.1,102,80,537,6.7,2,40,5.7,38.4,1490,10,4,9
2003,30,STL,RB,28,11,11,209,818,10,52,3.9,74.4,19.0,61,45,290,6.4,1,30,4.1,26.4,1108,11,0,9
2004,31,STL,RB,28,14,14,195,774,3,40,4.0,55.3,13.9,65,50,310,6.2,1,25,3.6,22.1,1084,4,2,7
2005,32,STL,,28,16,1,65,292,0,20,4.5,18.3,4.1,58,44,291,6.6,1,18,2.8,18.2,583,1,2,4
Career,,,,,176,156,2836,12279,100,71,4.3,69.8,16.1,716,767,6875,9.0,36,85,4.4,39.1,19154,136,36,166
7 yrs,,STL,,,99,80,1447,6959,58,71,4.8,70.3,14.6,606,470,4071,8.7,27,72,4.7,41.1,11030,85,13,98
5 yrs,,IND,,,77,76,1389,5320,42,68,3.8,69.1,18.0,407,297,2804,9.4,9,85,3.9,36.4,8124,51,23,68
