
Season,Team,Lg,Salary
1996-97,Philadelphia 76ers,NBA,$2267000
1997-98,Philadelphia 76ers,NBA,$3128640
1998-99,Philadelphia 76ers,NBA,$3537000
1999-00,Philadelphia 76ers,NBA,$9000000
2000-01,Philadelphia 76ers,NBA,$10130000
2001-02,Philadelphia 76ers,NBA,$11250000
2002-03,Philadelphia 76ers,NBA,$12375000
2003-04,Philadelphia 76ers,NBA,$13500000
2004-05,Philadelphia 76ers,NBA,$14625000
2005-06,Philadelphia 76ers,NBA,$16453125
2006-07,Denver Nuggets,NBA,$17184375
2007-08,Denver Nuggets,NBA,$19012500
2008-09,Detroit Pistons,NBA,$20840625
2009-10,Philadelphia 76ers,NBA,$1029794
2009-10,Memphis Grizzlies,NBA,$161386
Career,(may be incomplete),,$154494445
