
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2009,22,PIT,NL,108,493,433,74,124,26,9,12,54,22,5,54,83,.286,.365,.471,.836,121,204,3,2,0,4,2,8,RoY-4
2010,23,PIT,NL,154,653,570,94,163,35,5,16,56,33,10,70,89,.286,.365,.449,.814,121,256,6,5,1,7,1,*8,
2011 ★,24,PIT,NL,158,678,572,87,148,34,5,23,89,23,10,89,126,.259,.364,.456,.820,130,261,7,9,2,6,3,*8/D,AS
2012 ★,25,PIT,NL,157,673,593,107,194,29,6,31,96,20,12,70,132,.327,.400,.553,.953,162,328,9,5,0,5,13,*8,ASMVP-3GGSS
2013 ★,26,PIT,NL,157,674,583,97,185,38,5,21,84,27,10,78,101,.317,.404,.508,.911,157,296,13,9,0,4,12,*8/D,ASMVP-1SS
2014 ★,27,PIT,NL,146,648,548,89,172,38,6,25,83,18,3,84,115,.314,.410,.542,.952,166,297,9,10,0,6,8,*8,ASMVP-3SS
2015 ★,28,PIT,NL,157,685,566,91,165,36,3,23,96,11,5,98,133,.292,.401,.488,.889,144,276,9,12,0,9,12,*8/D,ASMVP-5SS
2016,29,PIT,NL,16,73,61,10,14,4,0,2,4,1,2,11,14,.230,.356,.393,.750,106,24,1,1,0,0,2,*8,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,1053,4577,3926,649,1165,240,39,153,562,155,57,554,793,.297,.387,.495,.882,143,1942,57,53,3,41,53,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,704,604,100,179,37,6,24,86,24,9,85,122,.297,.387,.495,.882,143,299,9,8,0,6,8,,
