
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1995,22,HOU,qb,9,4,2,2-0-0,41,80,51.3,569,3,3.8,1,1.3,53,7.1,7.3,13.9,142.3,81.7,,6,63,5.88,6.06,7.0,,,2
1996,23,HOU,qb,9,9,4,2-2-0,88,143,61.5,1197,6,4.2,4,2.8,83,8.4,8.0,13.6,133.0,90.6,,9,45,7.58,7.18,5.9,,,5
1997,24,TEN,QB,9,16,16,8-8-0,216,415,52.0,2665,14,3.4,13,3.1,55,6.4,5.7,12.3,166.6,70.4,,31,190,5.55,4.87,7.0,1,1,15
1998,25,TEN,QB,9,16,16,8-8-0,289,492,58.7,3228,15,3.0,10,2.0,47,6.6,6.3,11.2,201.8,80.1,,33,176,5.81,5.53,6.3,1,2,15
1999,26,TEN,QB,9,11,11,9-2-0,187,331,56.5,2179,12,3.6,8,2.4,65,6.6,6.2,11.7,198.1,78.6,,16,74,6.07,5.72,4.6,2,2,10
2000*,27,TEN,QB,9,16,15,12-3-0,248,396,62.6,2847,15,3.8,13,3.3,56,7.2,6.5,11.5,177.9,83.2,,24,141,6.44,5.76,5.7,3,3,13
2001,28,TEN,QB,9,15,15,7-8-0,264,431,61.3,3350,21,4.9,12,2.8,71,7.8,7.5,12.7,223.3,90.2,,37,251,6.62,6.37,7.9,1,4,13
2002,29,TEN,QB,9,16,16,11-5-0,301,492,61.2,3387,22,4.5,15,3.0,55,6.9,6.4,11.3,211.7,84.0,,21,121,6.37,5.91,4.1,4,4,15
2003*,30,TEN,QB,9,14,14,10-4-0,250,400,62.5,3215,24,6.0,7,1.8,73,8.0,8.5,12.9,229.6,100.4,,19,108,7.42,7.81,4.5,1,2,14
2004,31,TEN,QB,9,8,8,3-5-0,129,215,60.0,1343,8,3.7,9,4.2,37,6.2,5.1,10.4,167.9,73.1,,13,95,5.47,4.40,5.7,1,1,3
2005*,32,TEN,QB,9,14,14,4-10-0,292,476,61.3,3161,16,3.4,11,2.3,57,6.6,6.3,10.8,225.8,82.4,,20,134,6.10,5.75,4.0,0,1,10
2006,33,BAL,QB,9,16,16,13-3-0,295,468,63.0,3050,16,3.4,12,2.6,87,6.5,6.0,10.3,190.6,82.5,56.78,14,84,6.15,5.70,2.9,3,3,10
2007,34,BAL,qb,9,6,6,2-4-0,133,205,64.9,1113,2,1.0,4,2.0,30,5.4,4.7,8.4,185.5,73.9,25.95,11,85,4.76,4.11,5.1,,,1
Career,,,,,161,153,91-62-0,2733,4544,60.1,31304,174,3.8,119,2.6,87,6.9,6.5,11.5,194.4,82.8,,254,1567,6.20,5.81,5.3,17,23,126
11 yrs,,TEN-HOU,,,139,131,76-55-0,2305,3871,59.5,27141,156,4.0,103,2.7,83,7.0,6.6,11.8,195.3,83.3,,229,1398,6.28,5.91,5.6,14,20,115
2 yrs,,BAL,,,22,22,15-7-0,428,673,63.6,4163,18,2.7,16,2.4,87,6.2,5.7,9.7,189.2,79.9,,25,169,5.72,5.21,3.6,3,3,11
