
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1995,22,HOU,qb,9,4,2,11,38,0,13,3.5,9.5,2.8,,,,,,,,,38,0,3
1996,23,HOU,qb,9,9,4,31,169,2,24,5.5,18.8,3.4,,,,,,,,,169,2,7
1997,24,TEN,QB,9,16,16,101,674,8,47,6.7,42.1,6.3,,,,,,,,,674,8,16
1998,25,TEN,QB,9,16,16,77,559,4,71,7.3,34.9,4.8,,,,,,,,,559,4,5
1999,26,TEN,QB,9,11,11,72,337,8,38,4.7,30.6,6.5,,,,,,,,,337,8,3
2000*,27,TEN,QB,9,16,15,72,403,0,25,5.6,25.2,4.5,,,,,,,,,403,0,12
2001,28,TEN,QB,9,15,15,75,414,5,24,5.5,27.6,5.0,,,,,,,,,414,5,5
2002,29,TEN,QB,9,16,16,82,440,3,26,5.4,27.5,5.1,,,,,,,,,440,3,9
2003*,30,TEN,QB,9,14,14,38,138,4,23,3.6,9.9,2.7,1,1,4,4.0,0,4,0.1,0.3,142,4,12
2004,31,TEN,QB,9,8,8,23,128,1,23,5.6,16.0,2.9,,,,,,,,,128,1,5
2005*,32,TEN,QB,9,14,14,32,139,1,19,4.3,9.9,2.3,,,,,,,,,139,1,7
2006,33,BAL,QB,9,16,16,45,119,1,19,2.6,7.4,2.8,,,,,,,,,119,1,7
2007,34,BAL,qb,9,6,6,10,32,0,13,3.2,5.3,1.7,,,,,,,,,32,0,8
Career,,,,,161,153,669,3590,37,71,5.4,22.3,4.2,1,1,4,4.0,0,4,0.0,0.0,3594,37,99
11 yrs,,TEN-HOU,,,139,131,614,3439,36,71,5.6,24.7,4.4,1,1,4,4.0,0,4,0.0,0.0,3443,36,84
2 yrs,,BAL,,,22,22,55,151,1,19,2.7,6.9,2.5,,,,,,,,,151,1,15
