
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1996-97,22,PHO,NBA,PG,65,684,10.8,.539,.314,.291,2.8,8.0,5.4,29.5,1.5,0.0,24.2,17.1,,0.4,0.3,0.7,.047,,-1.8,-2.8,-4.6,-0.5
1997-98,23,PHO,NBA,PG,76,1664,15.6,.556,.334,.147,2.3,8.8,5.6,25.2,2.0,0.2,13.6,19.6,,2.9,1.8,4.8,.137,,1.8,-1.2,0.5,1.1
1998-99,24,DAL,NBA,PG,40,1269,10.9,.471,.417,.146,2.8,7.3,5.0,27.2,1.6,0.1,19.9,15.1,,0.6,0.3,1.0,.037,,0.1,-1.9,-1.8,0.1
1999-00,25,DAL,NBA,PG,56,1532,13.5,.601,.410,.234,2.4,6.1,4.2,25.5,1.2,0.1,20.3,14.5,,2.8,0.2,3.0,.094,,1.3,-2.8,-1.5,0.2
2000-01,26,DAL,NBA,PG,70,2387,19.6,.603,.277,.326,2.2,8.1,5.2,34.6,1.6,0.1,18.5,21.1,,6.8,1.6,8.4,.169,,4.1,-1.9,2.2,2.5
2001-02 ★,27,DAL,NBA,PG,82,2837,20.7,.602,.315,.269,2.0,7.9,5.0,36.1,1.0,0.1,15.8,23.0,,9.5,0.3,9.9,.167,,5.4,-3.1,2.3,3.1
2002-03 ★,28,DAL,NBA,PG,82,2711,22.6,.576,.241,.304,2.6,7.0,4.8,36.3,1.6,0.2,13.2,24.4,,9.7,1.9,11.6,.206,,5.5,-2.1,3.3,3.7
2003-04,29,DAL,NBA,PG,78,2612,20.5,.590,.304,.297,2.4,7.4,4.8,38.3,1.3,0.2,17.9,19.5,,8.9,-0.1,8.8,.162,,4.7,-3.7,1.0,2.0
2004-05 ★,30,PHO,NBA,PG,75,2573,22.0,.606,.254,.278,2.5,7.6,5.2,49.2,1.4,0.2,20.3,20.5,,9.7,1.2,10.9,.203,,4.5,-2.9,1.7,2.4
2005-06 ★,31,PHO,NBA,PG,79,2796,23.3,.632,.324,.264,1.9,11.1,6.6,44.4,1.1,0.3,19.0,23.3,,10.3,2.1,12.4,.212,,5.4,-1.6,3.7,4.0
2006-07 ★,32,PHO,NBA,PG,76,2682,23.8,.654,.353,.254,1.4,9.9,5.8,50.1,1.1,0.2,21.0,22.9,,10.8,1.7,12.6,.225,,6.1,-2.3,3.8,3.9
2007-08 ★,33,PHO,NBA,PG,81,2780,21.1,.641,.396,.255,1.2,9.6,5.7,47.3,0.9,0.1,21.6,22.0,,9.0,1.4,10.5,.181,,4.8,-3.2,1.6,2.6
2008-09,34,PHO,NBA,PG,74,2484,19.5,.615,.289,.247,0.9,9.2,5.2,42.4,1.1,0.3,20.8,21.1,,6.7,0.5,7.3,.140,,3.5,-3.4,0.0,1.3
2009-10 ★,35,PHO,NBA,PG,81,2660,21.6,.615,.295,.228,1.5,9.4,5.7,50.9,0.8,0.3,21.4,22.9,,9.1,0.8,9.9,.178,,4.9,-3.1,1.8,2.6
2010-11,36,PHO,NBA,PG,75,2497,20.8,.601,.253,.307,1.8,10.2,6.0,53.1,1.0,0.1,22.4,21.4,,7.3,0.7,7.9,.153,,3.6,-3.0,0.6,1.6
2011-12 ★,37,PHO,NBA,PG,62,1961,20.3,.625,.254,.256,1.5,9.1,5.3,53.1,1.0,0.3,27.1,19.6,,5.2,0.6,5.9,.144,,2.9,-3.5,-0.5,0.7
2012-13,38,LAL,NBA,PG,50,1627,16.0,.605,.274,.244,1.8,7.7,4.8,32.8,0.9,0.2,19.3,17.8,,3.7,0.6,4.3,.127,,1.5,-2.6,-1.1,0.4
2013-14,39,LAL,NBA,PG,15,313,12.2,.488,.255,.255,1.4,8.5,4.9,40.3,1.1,0.5,22.9,18.9,,0.1,0.0,0.1,.017,,-2.5,-3.7,-6.2,-0.3
Career,,,NBA,,1217,38069,20.0,.605,.306,.262,1.9,8.6,5.4,41.5,1.2,0.2,19.5,21.0,,113.7,16.1,129.7,.164,,4.0,-2.7,1.3,31.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,PHO,NBA,,744,22781,20.8,.617,.310,.253,1.7,9.4,5.7,46.4,1.1,0.2,21.0,21.5,,71.5,11.2,82.7,.174,,4.2,-2.7,1.4,19.7
6 seasons,,DAL,NBA,,408,13348,19.1,.585,.303,.282,2.3,7.4,4.9,34.2,1.4,0.2,16.7,20.5,,38.4,4.2,42.7,.153,,4.1,-2.6,1.4,11.5
2 seasons,,LAL,NBA,,65,1940,15.4,.585,.271,.246,1.7,7.8,4.8,34.0,1.0,0.3,19.9,18.0,,3.8,0.7,4.4,.109,,0.8,-2.7,-1.9,0.0
