
Season,Team,Lg,Salary
1996-97,Phoenix Suns,NBA,$916000
1997-98,Phoenix Suns,NBA,$1053360
1998-99,Dallas Mavericks,NBA,$1190760
1999-00,Dallas Mavericks,NBA,$5500000
2000-01,Dallas Mavericks,NBA,$5500000
2001-02,Dallas Mavericks,NBA,$5750000
2002-03,Dallas Mavericks,NBA,$5750000
2003-04,Dallas Mavericks,NBA,$5750000
2004-05,Phoenix Suns,NBA,$8750000
2005-06,Phoenix Suns,NBA,$9625000
2006-07,Phoenix Suns,NBA,$10500000
2007-08,Phoenix Suns,NBA,$11375000
2008-09,Phoenix Suns,NBA,$12250000
2009-10,Phoenix Suns,NBA,$13125000
2010-11,Phoenix Suns,NBA,$10310938
2011-12,Phoenix Suns,NBA,$11689062
2012-13,Los Angeles Lakers,NBA,$8900000
2013-14,Los Angeles Lakers,NBA,$9300500
2014-15,Los Angeles Lakers,NBA,$9701000
Career,(may be incomplete),,$146936620
