
Season,Team,Lg,Salary
1998-99,Dallas Mavericks,NBA,$1472640
1999-00,Dallas Mavericks,NBA,$1583040
2000-01,Dallas Mavericks,NBA,$1693560
2001-02,Dallas Mavericks,NBA,$2157595
2002-03,Dallas Mavericks,NBA,$10067750
2003-04,Dallas Mavericks,NBA,$11326219
2004-05,Dallas Mavericks,NBA,$12584688
2005-06,Dallas Mavericks,NBA,$13843156
2006-07,Dallas Mavericks,NBA,$15101625
2007-08,Dallas Mavericks,NBA,$16360094
2008-09,Dallas Mavericks,NBA,$18077904
2009-10,Dallas Mavericks,NBA,$19795714
2010-11,Dallas Mavericks,NBA,$17278618
2011-12,Dallas Mavericks,NBA,$19092873
2012-13,Dallas Mavericks,NBA,$20907128
2013-14,Dallas Mavericks,NBA,$22721381
2014-15,Dallas Mavericks,NBA,$7974482
Career,(may be incomplete),,$212038467
