
,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,
Season,Age,Tm,Lg,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,E+/-,OPS,DPS,PS,Awards
2005-06,20,WSH,NHL,81,44,0.64,0.67,1.31,0.54,0.64,5.25,52,52,104,43,132,60,75,5,2,,11.0,1.6,12.7,AS-1Calder-1Hart-6
2006-07,21,WSH,NHL,82,38,0.56,0.56,1.12,0.46,0.63,4.78,48,46,94,39,124,52,92,1,-19,,9.6,0.9,10.5,AS-9AS-1Hart-22
2007-08,22,WSH,NHL,82,48,0.79,0.57,1.37,0.59,0.49,5.44,72,50,122,53,150,56,67,1,28,,14.1,3.1,17.2,AS-1Byng-9Hart-1Pearson-1Richard-1Ross-1Selke-30
2008-09,23,WSH,NHL,79,45,0.71,0.68,1.39,0.57,0.91,6.68,59,55,114,47,162,80,82,8,8,,12.5,2.0,14.5,AS-10AS-1Hart-1Pearson-1Richard-1Selke-50
2009-10,24,WSH,NHL,72,43,0.69,0.82,1.51,0.60,1.24,5.11,55,62,117,47,148,59,45,1,45,,13.0,2.5,15.6,AS-9AS-1Hart-2Pearson-1Selke-28
2010-11,25,WSH,NHL,79,32,0.41,0.67,1.08,0.40,0.52,4.65,35,57,92,35,110,38,49,1,24,,8.1,3.0,11.1,AS-2Hart-14
2011-12,26,WSH,NHL,78,28,0.49,0.35,0.83,0.36,0.33,3.88,43,30,73,32,94,36,66,0,-8,,7.4,1.3,8.7,AS-10
2012-13,27,WSH,NHL,48,23,0.67,0.50,1.17,0.49,0.75,4.58,62,45,107,46,81,40,40,1,2,,7.0,1.0,8.0,AS-2AS-1Hart-1Richard-1
2013-14,28,WSH,NHL,78,34,0.65,0.36,1.01,0.44,0.62,4.95,58,31,89,40,107,63,80,0,-35,,9.9,0.3,10.2,AS-2Hart-23Richard-1
2014-15,29,WSH,NHL,81,36,0.65,0.35,1.00,0.44,0.72,4.88,60,31,91,41,117,51,58,2,10,9.1,10.4,2.2,12.6,AS-1Hart-2Richard-1
2015-16,30,WSH,NHL,79,33,0.63,0.27,0.90,0.41,0.67,5.04,57,23,80,37,122,52,49,0,21,12.4,9.1,2.6,11.7,Richard-1
Career,,,NHL,839,404,0.63,0.53,1.15,0.48,0.68,5.04,601,482,1083,459,1347,587,703,20,78,21.5,112.3,20.6,132.9,
