
,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,,,,,,,,
Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TSA,TOI,ATOI,FOwin,FOloss,FO%,HIT,BLK,TK,GV,Awards
2005-06,20,MDA,NHL,56,13,12,25,1,50,9,4,0,2,5,7,0,98,13.3,,648,11:34,,,,,,,,
2006-07,21,ANA,NHL,82,17,27,44,12,55,13,4,0,3,11,16,0,194,8.8,,1022,12:28,,,,,,,,
2007-08,22,ANA,NHL,70,29,25,54,12,108,18,11,0,4,19,6,0,200,14.5,326,1257,17:57,3,13,18.8,95,11,29,43,
2008-09,23,ANA,NHL,78,32,40,72,10,109,22,10,0,8,26,14,0,283,11.3,443,1451,18:36,9,22,29.0,109,13,33,45,AS-5
2009-10,24,ANA,NHL,82,27,49,76,0,111,20,6,1,2,31,17,1,270,10.0,450,1727,21:04,6,22,21.4,93,34,38,54,AS-8
2010-11,25,ANA,NHL,82,50,48,98,9,104,32,14,4,11,30,17,1,290,17.2,483,1830,22:19,9,13,40.9,64,41,55,54,AS-1Hart-1Richard-1Selke-21
2011-12,26,ANA,NHL,80,37,23,60,-7,127,22,14,1,6,13,9,1,277,13.4,463,1710,21:23,19,29,39.6,65,45,34,48,AS-12
2012-13,27,ANA,NHL,44,15,21,36,10,72,10,5,0,5,15,5,1,128,11.7,208,839,19:04,6,23,20.7,49,18,18,21,AS-13
2013-14,28,ANA,NHL,81,43,39,82,32,65,35,8,0,9,29,10,0,280,15.4,492,1578,19:29,9,16,36.0,81,28,31,56,AS-1Hart-13
2014-15,29,ANA,NHL,67,33,22,55,13,67,29,4,0,3,19,3,0,193,17.1,349,1213,18:06,3,9,25.0,64,27,25,46,AS-9
2015-16,30,ANA,NHL,82,34,28,62,2,68,22,12,0,6,16,12,0,215,15.8,384,1452,17:42,2,8,20.0,104,36,25,53,
11 yrs,,ANAMDA,NHL,804,330,334,664,94,936,232,92,6,59,214,116,4,2428,13.6,3890,14727,18:19,66,155,29.9,724,253,288,420,
Career,,,NHL,804,330,334,664,94,936,232,92,6,59,214,116,4,2428,13.6,3890,14727,18:19,66,155,29.9,724,253,288,420,
