
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2009,22,SFG,NL,7,17,17,1,2,0,0,0,0,0,0,0,4,.118,.118,.118,.235,-38,2,0,0,0,0,0,/2,
2010,23,SFG,NL,108,443,406,58,124,23,2,18,67,0,2,30,55,.305,.357,.505,.862,133,205,12,4,0,3,5,23,MVP-11RoY-1
2011,24,SFG,NL,45,185,162,17,46,5,0,4,21,3,0,18,30,.284,.368,.389,.756,116,63,4,4,0,1,3,2/3,
2012 ★,25,SFG,NL,148,610,530,78,178,39,1,24,103,1,1,69,96,.336,.408,.549,.957,171,291,19,2,0,9,7,*23/D,ASMVP-1SS
2013 ★,26,SFG,NL,148,595,520,61,153,34,1,15,72,2,1,60,70,.294,.371,.450,.821,134,234,15,8,0,7,8,*23/D,ASMVP-20
2014,27,SFG,NL,147,605,547,72,170,28,2,22,89,0,1,47,69,.311,.364,.490,.854,143,268,16,3,0,8,5,*23/D,MVP-6SS
2015 ★,28,SFG,NL,150,623,557,74,177,28,0,19,95,2,0,56,52,.318,.379,.470,.849,135,262,17,3,0,7,10,23/D,ASMVP-9SS
2016,29,SFG,NL,14,58,51,5,13,1,0,2,5,1,0,6,6,.255,.328,.392,.720,98,20,0,0,0,1,1,*2/3,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,767,3136,2790,366,863,158,6,104,452,9,5,286,382,.309,.374,.482,.856,140,1345,83,24,0,36,39,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,662,589,77,182,33,1,22,95,2,1,60,81,.309,.374,.482,.856,140,284,18,5,0,8,8,,
