
,,,,Even Strength,Even Strength,Even Strength,Power Play,Power Play,Power Play,Short-handed,Short-handed,Short-handed
Season,Age,Tm,Lg,Sh,GA,SV %,Sh,GA,SV %,Sh,GA,SV %
2007-08,20,MTL,NHL,957,67,.930,39,2,.949,286,34,.881
2008-09,21,MTL,NHL,1180,93,.921,51,5,.902,280,44,.843
2009-10,22,MTL,NHL,988,77,.922,36,2,.944,219,29,.868
2010-11,23,MTL,NHL,1678,113,.933,69,4,.942,396,46,.884
2011-12,24,MTL,NHL,1565,128,.918,67,6,.910,281,26,.907
2012-13,25,MTL,NHL,825,66,.920,37,1,.973,154,30,.805
2013-14,26,MTL,NHL,1474,96,.935,54,5,.907,298,32,.893
2014-15,27,MTL,NHL,1624,94,.942,52,3,.942,277,33,.881
2015-16,28,MTL,NHL,298,19,.936,11,0,1.000,56,5,.911
Career,,,NHL,10589,753,.929,416,28,.933,2247,279,.876
