
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2000,21,PHI,NL,14,55,53,5,17,1,1,0,5,3,0,2,7,.321,.345,.377,.723,83,20,0,0,0,0,0,6,
2001 ★,22,PHI,NL,158,720,656,97,180,29,12,14,54,46,8,48,108,.274,.323,.419,.743,93,275,5,2,9,5,2,*6,ASMVP-17RoY-3
2002 ★,23,PHI,NL,154,705,637,82,156,33,10,11,60,31,13,54,103,.245,.306,.380,.686,85,242,14,4,6,4,3,*6/4,AS
2003,24,PHI,NL,156,689,628,85,165,42,6,8,62,20,12,54,113,.263,.320,.387,.707,90,243,9,0,5,2,4,*6,
2004,25,PHI,NL,154,725,657,119,190,43,12,14,73,30,9,57,73,.289,.348,.455,.803,102,299,4,3,6,2,3,*6,MVP-30
2005 ★,26,PHI,NL,158,732,677,115,196,38,11,12,54,41,6,47,71,.290,.338,.431,.770,97,292,9,4,2,2,8,*6,ASMVP-10
2006,27,PHI,NL,158,758,689,127,191,45,9,25,83,36,4,57,80,.277,.334,.478,.811,101,329,12,5,0,7,2,*6,MVP-21
2007,28,PHI,NL,162,778,716,139,212,38,20,30,94,41,6,49,85,.296,.344,.531,.875,119,380,11,7,0,6,5,*6,MVP-1GGSS
2008,29,PHI,NL,137,625,556,76,154,38,9,11,59,47,3,58,55,.277,.349,.437,.786,104,243,11,5,3,3,7,*6,GG
2009,30,PHI,NL,155,725,672,100,168,43,5,21,77,31,8,44,70,.250,.296,.423,.719,87,284,7,2,2,5,1,*6,GG
2010,31,PHI,NL,88,394,350,48,85,16,3,8,41,17,1,40,32,.243,.320,.374,.694,85,131,4,1,0,3,2,6,
2011,32,PHI,NL,142,631,567,87,152,22,2,16,63,30,8,58,59,.268,.338,.399,.736,101,226,9,3,0,3,5,*6/D,
2012,33,PHI,NL,156,699,632,102,158,33,5,23,68,30,5,62,96,.250,.316,.427,.743,98,270,9,0,2,3,2,*6,GG
2013,34,PHI,NL,160,666,600,65,151,36,2,6,39,22,6,59,93,.252,.318,.348,.667,86,209,12,1,3,3,6,*6,
2014,35,PHI,NL,138,609,538,78,131,22,4,17,55,28,6,64,100,.243,.323,.394,.717,100,212,6,1,3,3,2,*6/D,
2015,36,LAD,NL,144,563,517,71,116,24,3,13,41,12,8,44,86,.224,.285,.358,.643,79,185,12,0,1,1,0,*6,
2016,37,CHW,AL,12,51,46,6,10,4,0,1,3,0,1,4,6,.217,.275,.370,.644,85,17,2,0,0,1,0,*6,
17 Yrs,17 Yrs,17 Yrs,17 Yrs,2246,10125,9191,1402,2432,507,114,230,931,465,104,801,1237,.265,.324,.420,.744,96,3857,136,38,42,53,52,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,730,663,101,175,37,8,17,67,34,8,58,89,.265,.324,.420,.744,96,278,10,3,3,4,4,,
,,,,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
PHI (15 yrs),PHI (15 yrs),PHI (15 yrs),PHI (15 yrs),2090,9511,8628,1325,2306,479,111,216,887,453,95,753,1145,.267,.327,.424,.751,97,3655,122,38,41,51,52,,
LAD (1 yr),LAD (1 yr),LAD (1 yr),LAD (1 yr),144,563,517,71,116,24,3,13,41,12,8,44,86,.224,.285,.358,.643,79,185,12,0,1,1,0,,
CHW (1 yr),CHW (1 yr),CHW (1 yr),CHW (1 yr),12,51,46,6,10,4,0,1,3,0,1,4,6,.217,.275,.370,.644,85,17,2,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL (16 yrs),NL (16 yrs),NL (16 yrs),NL (16 yrs),2234,10074,9145,1396,2422,503,114,229,928,465,103,797,1231,.265,.325,.420,.745,96,3840,134,38,42,52,52,,
AL (1 yr),AL (1 yr),AL (1 yr),AL (1 yr),12,51,46,6,10,4,0,1,3,0,1,4,6,.217,.275,.370,.644,85,17,2,0,0,1,0,,
