
,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,,,,,,,,
Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TSA,TOI,ATOI,FOwin,FOloss,FO%,HIT,BLK,TK,GV,Awards
1988-89,19,QUE,NHL,70,23,39,62,-36,24,13,10,0,2,17,21,1,148,15.5,,,,,,,,,,,Calder-8
1989-90,20,QUE,NHL,80,39,63,102,-40,27,30,8,1,2,36,27,0,234,16.7,,,,,,,,,,,Byng-5
1990-91,21,QUE,NHL,80,48,61,109,-26,24,33,12,3,7,38,22,1,245,19.6,,,,,,,,,,,AS-3Byng-3Hart-7
1991-92,22,QUE,NHL,69,29,65,94,5,20,20,6,3,1,36,25,4,217,13.4,,,,,,,,,,,Byng-2Selke-24
1992-93,23,QUE,NHL,78,48,57,105,-3,40,26,20,2,4,29,27,1,264,18.2,,,,,,,,,,,Byng-4
1993-94,24,QUE,NHL,84,28,64,92,-8,18,17,10,1,9,40,23,1,279,10.0,,,,,,,,,,,Byng-6
1994-95,25,QUE,NHL,47,19,43,62,7,30,14,3,2,5,23,19,1,157,12.1,,,,,,,,,,,AS-4
1995-96,26,COL,NHL,82,51,69,120,14,44,28,17,6,7,34,33,2,339,15.0,,,,,,,,,,,AS-4Byng-5Hart-6Smythe-1
1996-97,27,COL,NHL,65,22,52,74,-10,34,10,10,2,5,25,26,1,261,8.4,,,,,,,,,,,AS-7Byng-7Hart-14
1997-98,28,COL,NHL,64,27,36,63,0,50,14,12,1,2,20,16,0,254,10.6,,,,,,,,,,,
1998-99,29,COL,NHL,73,41,55,96,23,29,24,12,5,6,32,22,1,255,16.1,,1868,25:35,,,,,,,,AS-4Byng-5Hart-15
1999-00,30,COL,NHL,60,28,53,81,30,28,22,5,1,5,36,17,0,242,11.6,,1396,23:16,,,,,,,,AS-3Byng-8Hart-14Selke-10
2000-01,31,COL,NHL,82,54,64,118,45,30,32,19,3,12,34,27,3,332,16.3,,1887,23:01,,,,,,,,AS-1Byng-1Hart-1Pearson-1Selke-2
2001-02,32,COL,NHL,82,26,53,79,12,18,16,9,1,4,37,16,0,260,10.0,,1805,22:01,,,,,,,,AS-1Byng-2Hart-7Selke-9
2002-03,33,COL,NHL,58,26,32,58,4,24,18,8,0,1,21,10,1,190,13.7,,1230,21:12,,,,,,,,Byng-11Selke-13
2003-04,34,COL,NHL,81,33,54,87,11,42,19,13,1,3,30,24,0,253,13.0,,1641,20:16,,,,,,,,AS-1Byng-9Hart-7Selke-15
2005-06,36,COL,NHL,82,32,55,87,10,60,22,10,0,6,31,24,0,263,12.2,,1633,19:55,,,,,,,,AS-6Byng-15
2006-07,37,COL,NHL,82,36,64,100,2,46,20,16,0,4,37,27,0,258,14.0,,1655,20:11,,,,,,,,AS-4Byng-3Hart-8Selke-15
2007-08,38,COL,NHL,44,13,27,40,-4,20,8,5,0,1,13,14,0,124,10.5,209,879,19:59,296,290,50.5,11,21,24,33,Byng-13
2008-09,39,COL,NHL,15,2,10,12,-6,6,2,0,0,0,4,6,0,46,4.3,79,272,18:07,117,99,54.2,7,5,13,14,
20 yrs,,QUECOL,NHL,1378,625,1016,1641,30,614,388,205,32,86,573,426,17,4621,13.5,4739,14266,21:39,413,389,51.5,18,26,37,47,
Career,,,NHL,1378,625,1016,1641,30,614,388,205,32,86,573,426,17,4621,13.5,4739,14266,21:39,413,389,51.5,18,26,37,47,
