
,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,,,,,,,,
Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TSA,TOI,ATOI,FOwin,FOloss,FO%,HIT,BLK,TK,GV,Awards
2000-01,20,VAN,NHL,82,9,20,29,-2,38,7,2,0,1,13,7,0,98,9.2,,1109,13:31,,,,,,,,
2001-02,21,VAN,NHL,82,16,20,36,9,36,13,3,0,1,14,6,0,78,20.5,,1050,12:48,,,,,,,,
2002-03,22,VAN,NHL,78,8,31,39,9,38,3,4,1,1,16,15,0,81,9.9,,1089,13:58,,,,,,,,
2003-04,23,VAN,NHL,76,11,31,42,23,32,9,2,0,2,20,11,0,99,11.1,,1067,14:02,,,,,,,,Selke-55
2005-06,25,VAN,NHL,82,18,57,75,11,56,12,5,1,0,28,27,2,113,15.9,,1386,16:54,,,,,,,,
2006-07,26,VAN,NHL,82,10,71,81,19,66,9,1,0,2,37,34,0,134,7.5,,1511,18:26,,,,,,,,Selke-33
2007-08,27,VAN,NHL,82,15,61,76,6,56,10,4,1,2,36,25,0,141,10.6,233,1600,19:31,643,726,47.0,19,15,31,56,Byng-55
2008-09,28,VAN,NHL,82,22,60,82,22,48,18,4,0,8,38,22,0,143,15.4,223,1601,19:31,664,682,49.3,17,16,42,62,Byng-35
2009-10,29,VAN,NHL,82,29,83,112,35,48,23,4,2,5,60,23,0,166,17.5,262,1614,19:41,756,771,49.5,13,13,44,42,AS-1Byng-7Hart-1Ross-1Selke-49
2010-11,30,VAN,NHL,82,19,75,94,26,40,11,8,0,4,48,27,0,157,12.1,257,1579,19:16,721,666,52.0,15,21,43,38,AS-8AS-1Byng-11Hart-10Selke-23
2011-12,31,VAN,NHL,82,14,67,81,23,52,6,8,0,6,48,19,0,113,12.4,209,1565,19:05,652,650,50.1,32,17,31,37,AS-5Byng-21Hart-9Selke-30
2012-13,32,VAN,NHL,48,11,34,45,19,24,9,1,1,1,22,12,0,70,15.7,114,929,19:21,440,451,49.4,22,9,21,19,AS-9Byng-24Hart-14Selke-24
2013-14,33,VAN,NHL,70,11,39,50,3,42,7,4,0,1,25,14,0,97,11.3,177,1447,20:40,574,523,52.3,43,19,22,36,
2014-15,34,VAN,NHL,82,18,55,73,11,22,13,5,0,0,35,20,0,101,17.8,162,1526,18:37,708,848,45.5,23,24,33,37,AS-11Byng-14Selke-37
2015-16,35,VAN,NHL,74,11,44,55,0,24,5,5,1,0,29,15,0,99,11.1,157,1360,18:23,620,727,46.0,9,19,23,50,
Career,,,NHL,1166,222,748,970,214,622,155,60,7,34,469,277,2,1690,13.1,2397,20435,17:32,5778,6044,48.9,193,153,290,377,
