
,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,
Season,Age,Tm,Lg,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,E+/-,OPS,DPS,PS,Awards
1998-99,23,CGY,NHL,13,1,0.08,0.08,0.15,0.06,0.77,1.08,1,1,2,1,5,1,6,0,-2,,0.0,0.0,0.0,
1999-00,24,CGY,NHL,56,6,0.05,0.27,0.32,0.10,0.39,1.30,3,16,19,6,27,3,47,18,-5,,-0.1,0.7,0.5,
2000-01,25,TBL,NHL,78,16,0.23,0.28,0.51,0.20,0.15,1.81,20,23,43,17,54,9,64,15,-4,,2.7,1.2,3.9,
2001-02,26,TBL,NHL,53,14,0.30,0.36,0.66,0.26,0.38,1.98,18,22,40,16,49,14,36,5,4,,2.8,1.5,4.3,
2002-03,27,TBL,NHL,82,27,0.40,0.45,0.85,0.33,0.39,2.45,37,41,78,31,103,38,65,10,10,,6.4,2.4,8.7,
2003-04,28,TBL,NHL,82,36,0.46,0.68,1.15,0.44,0.29,2.59,45,64,109,42,130,44,65,14,35,,10.1,3.1,13.2,AS-8AS-1Byng-3Hart-1Pearson-1Ross-1Selke-4
2005-06,30,TBL,NHL,80,24,0.39,0.38,0.76,0.30,0.48,2.76,31,29,60,25,91,37,70,13,-3,,4.0,2.0,6.1,AS-7
2006-07,31,TBL,NHL,82,39,0.52,0.72,1.24,0.47,0.34,3.33,45,59,104,41,146,53,99,13,7,,9.2,2.6,11.8,AS-13AS-2Byng-2Hart-14Selke-18
2007-08,32,TBL,NHL,82,29,0.30,0.71,1.01,0.35,0.32,2.94,28,62,90,32,123,45,113,12,-23,,6.1,1.5,7.6,AS-6Byng-2
2008-09,33,TBL,NHL,82,29,0.37,0.61,0.98,0.36,0.17,3.20,32,51,83,31,111,41,88,22,4,,6.4,2.0,8.4,AS-3Byng-2Selke-39
2009-10,34,TBL,NHL,82,33,0.35,0.79,1.15,0.40,0.15,2.95,32,68,100,36,121,52,91,14,-8,,8.1,1.8,9.9,AS-7AS-2Byng-1Hart-17
2010-11,35,TBL,NHL,82,35,0.38,0.83,1.21,0.42,0.15,3.10,34,73,107,38,127,56,75,4,0,,9.3,2.0,11.3,AS-8AS-2Byng-1Hart-3Selke-19
2011-12,36,TBL,NHL,77,27,0.32,0.64,0.96,0.35,0.21,2.40,28,54,82,30,119,32,92,2,-3,,6.3,1.4,7.7,AS-8Byng-5
2012-13,37,TBL,NHL,48,20,0.35,0.90,1.25,0.42,0.29,2.33,33,81,114,40,76,25,55,4,0,,5.4,0.8,6.3,AS-12AS-2Byng-1Hart-9Ross-1
2013-14,38,TOT,NHL,81,26,0.37,0.48,0.85,0.33,0.12,2.52,34,43,77,30,94,26,65,11,13,,6.3,2.4,8.7,AS-5Byng-2
2013-14,38,TBL,NHL,62,24,0.47,0.52,0.98,0.39,0.10,2.69,33,35,68,28,82,23,57,11,12,,6.3,1.9,8.2,AS-5Byng-2
2013-14,38,NYR,NHL,19,2,0.05,0.37,0.42,0.13,0.21,1.95,1,8,9,3,12,3,8,0,1,,0.0,0.5,0.5,AS-5Byng-2
2014-15,39,NYR,NHL,74,20,0.28,0.42,0.70,0.27,0.27,1.95,24,34,58,22,76,20,44,0,12,-1.8,4.8,1.7,6.5,Byng-20
13 yrs,,TBL,NHL,972,352,0.38,0.60,0.98,0.36,0.26,2.69,416,662,1078,407,1332,469,970,139,31,,83.2,24.1,107.3,
2 yrs,,CGY,NHL,69,6,0.06,0.23,0.29,0.09,0.46,1.26,4,17,21,7,32,4,53,18,-7,,-0.1,0.7,0.6,
2 yrs,,NYR,NHL,93,22,0.24,0.41,0.65,0.24,0.26,1.95,25,42,67,25,88,23,52,0,13,-1.8,4.8,2.2,7.0,
Career,,,NHL,1134,381,0.34,0.57,0.91,0.34,0.27,2.54,445,721,1166,439,1452,496,1075,157,37,-1.8,87.9,27.0,114.8,
