
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1997,23,OAK,AL,26,104,99,10,20,3,2,2,10,2,0,2,22,.202,.240,.333,.574,51,33,3,3,0,0,0,6,
1998,24,OAK,AL,105,407,365,53,85,20,1,11,45,5,6,28,86,.233,.298,.384,.681,79,140,8,7,4,3,0,6,
1999,25,OAK,AL,159,674,593,93,149,33,4,21,84,8,7,57,94,.251,.325,.427,.751,95,253,11,10,9,5,3,*6,
2000,26,OAK,AL,160,681,607,105,167,32,1,30,115,6,0,66,102,.275,.349,.479,.828,111,291,15,4,2,2,6,*6,MVP-16
2001,27,OAK,AL,162,683,622,107,166,31,3,31,113,11,5,43,89,.267,.326,.476,.801,110,296,14,13,1,4,5,*6,MVP-19
2002 ★,28,OAK,AL,162,715,662,108,204,30,0,34,131,7,2,38,84,.308,.354,.508,.861,128,336,21,11,0,4,3,*6,ASMVP-1
2003,29,OAK,AL,162,703,636,98,177,42,0,27,106,10,0,53,65,.278,.336,.472,.807,111,300,12,6,0,8,7,*6,MVP-11
2004 ★,30,BAL,AL,162,725,653,107,203,40,2,34,150,4,1,48,73,.311,.360,.534,.894,131,349,24,10,0,14,6,*6,ASMVP-5SS
2005 ★,31,BAL,AL,162,704,654,89,199,50,5,26,98,5,1,40,83,.304,.349,.515,.865,128,337,26,7,0,3,9,*6/D,ASMVP-15SS
2006 ★,32,BAL,AL,162,709,648,99,214,37,0,24,100,6,2,46,79,.330,.379,.498,.878,126,323,28,9,0,6,10,*6D,ASMVP-20
2007,33,BAL,AL,133,569,514,72,152,19,1,18,81,2,1,41,55,.296,.357,.442,.799,109,227,22,10,0,3,9,*6/D,
2008 ★,34,HOU,NL,158,666,632,92,179,38,3,13,66,7,7,24,72,.283,.314,.415,.729,92,262,32,6,1,3,4,*6,AS
2009 ★,35,HOU,NL,158,674,635,83,199,46,1,14,86,5,2,19,48,.313,.340,.455,.795,110,289,29,11,0,8,2,*6,ASMVP-23
2010,36,TOT,MLB,156,681,636,71,171,26,0,15,71,2,0,30,67,.269,.312,.381,.692,91,242,16,11,1,3,3,56/D,
2010,36,BAL,AL,97,428,401,40,108,16,0,7,39,0,0,15,39,.269,.308,.362,.670,83,145,13,9,0,3,3,5/D,
2010,36,SDP,NL,59,253,235,31,63,10,0,8,32,2,0,15,28,.268,.317,.413,.730,104,97,3,2,1,0,0,6/5,
2011,37,SFG,NL,91,343,322,28,77,16,0,4,26,4,4,12,35,.239,.270,.326,.596,69,105,10,3,2,4,5,56/4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,39,KCR,AL,53,167,156,15,45,5,0,3,20,1,0,6,25,.288,.317,.378,.695,90,59,6,1,3,1,1,45/3D,
16 Yrs,16 Yrs,16 Yrs,16 Yrs,2171,9205,8434,1230,2407,468,23,307,1302,85,38,553,1079,.285,.336,.456,.791,108,3842,277,122,23,71,73,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,687,629,92,180,35,2,23,97,6,3,41,81,.285,.336,.456,.791,108,287,21,9,2,5,5,,
,,,,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
OAK (7 yrs),OAK (7 yrs),OAK (7 yrs),OAK (7 yrs),936,3967,3584,574,968,191,11,156,604,49,20,287,542,.270,.331,.460,.791,107,1649,84,54,16,26,24,,
BAL (5 yrs),BAL (5 yrs),BAL (5 yrs),BAL (5 yrs),716,3135,2870,407,876,162,8,109,468,17,5,190,329,.305,.354,.481,.836,119,1381,113,45,0,29,37,,
HOU (2 yrs),HOU (2 yrs),HOU (2 yrs),HOU (2 yrs),316,1340,1267,175,378,84,4,27,152,12,9,43,120,.298,.327,.435,.762,101,551,61,17,1,11,6,,
KCR (1 yr),KCR (1 yr),KCR (1 yr),KCR (1 yr),53,167,156,15,45,5,0,3,20,1,0,6,25,.288,.317,.378,.695,90,59,6,1,3,1,1,,
SDP (1 yr),SDP (1 yr),SDP (1 yr),SDP (1 yr),59,253,235,31,63,10,0,8,32,2,0,15,28,.268,.317,.413,.730,104,97,3,2,1,0,0,,
SFG (1 yr),SFG (1 yr),SFG (1 yr),SFG (1 yr),91,343,322,28,77,16,0,4,26,4,4,12,35,.239,.270,.326,.596,69,105,10,3,2,4,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL (13 yrs),AL (13 yrs),AL (13 yrs),AL (13 yrs),1705,7269,6610,996,1889,358,19,268,1092,67,25,483,896,.286,.341,.467,.808,112,3089,203,100,19,56,62,,
NL (4 yrs),NL (4 yrs),NL (4 yrs),NL (4 yrs),466,1936,1824,234,518,110,4,39,210,18,13,70,183,.284,.316,.413,.729,96,753,74,22,4,15,11,,
