
,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,
Season,Age,Tm,Lg,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,E+/-,OPS,DPS,PS,Awards
1997-98,18,BOS,NHL,55,3,0.05,0.07,0.13,0.05,0.35,0.60,3,5,8,3,9,2,13,0,-6,,-1.1,0.5,-0.5,
1998-99,19,BOS,NHL,81,15,0.20,0.31,0.51,0.19,0.85,1.58,18,28,46,17,60,23,35,1,3,,2.5,1.8,4.3,
1999-00,20,BOS,NHL,81,23,0.28,0.46,0.74,0.28,1.01,2.11,25,40,65,25,90,26,80,11,-5,,4.0,1.8,5.7,
2000-01,21,BOS,NHL,72,29,0.51,0.47,0.99,0.40,1.49,2.51,40,36,76,32,103,49,76,18,-4,,6.7,1.6,8.3,
2001-02,22,BOS,NHL,66,25,0.33,0.70,1.03,0.37,1.92,2.30,25,52,77,28,82,25,52,2,7,,6.2,1.5,7.8,AS-10
2002-03,23,BOS,NHL,77,37,0.47,0.84,1.31,0.48,1.42,2.55,41,72,113,42,131,47,77,5,12,,10.1,2.0,12.1,AS-2Hart-4
2003-04,24,BOS,NHL,77,26,0.30,0.65,0.95,0.34,1.27,2.43,27,57,84,30,97,26,56,3,18,,6.3,2.5,8.8,AS-3Hart-14
2005-06,26,TOT,NHL,81,42,0.36,1.19,1.54,0.51,0.75,2.41,29,92,121,41,156,68,75,18,31,,10.2,3.1,13.3,AS-1Byng-15Hart-1Ross-1Selke-19
2005-06,26,BOS,NHL,23,11,0.39,1.04,1.43,0.50,0.26,2.61,9,23,32,11,42,17,29,4,0,,2.8,0.5,3.3,AS-1Byng-15Hart-1Ross-1Selke-19
2005-06,26,SJS,NHL,58,30,0.34,1.24,1.59,0.52,0.95,2.33,20,69,89,30,114,51,46,14,31,,7.5,2.6,10.0,AS-1Byng-15Hart-1Ross-1Selke-19
2006-07,27,SJS,NHL,82,36,0.27,1.12,1.39,0.44,0.54,2.60,23,92,115,38,136,65,49,2,24,,9.0,3.2,12.2,AS-3Byng-14Hart-5Selke-21
2007-08,28,SJS,NHL,82,33,0.35,0.82,1.17,0.41,0.72,2.17,32,72,104,37,118,53,49,2,18,,8.6,3.3,11.9,AS-2Byng-11Hart-6Selke-58
2008-09,29,SJS,NHL,82,29,0.30,0.74,1.05,0.35,0.68,1.70,26,62,88,31,109,43,53,3,16,,6.8,2.7,9.5,AS-5Byng-33Hart-9Selke-28
2009-10,30,SJS,NHL,79,29,0.25,0.87,1.13,0.37,0.68,1.78,22,72,94,32,115,42,62,6,17,,7.3,2.2,9.6,AS-5Byng-27Hart-12Selke-32
2010-11,31,SJS,NHL,80,24,0.26,0.61,0.88,0.30,0.59,1.86,23,52,75,27,112,52,64,8,4,,5.4,1.9,7.2,Selke-36
2011-12,32,SJS,NHL,82,25,0.22,0.72,0.94,0.31,0.38,1.90,20,65,85,29,100,36,54,7,17,,5.8,2.6,8.4,Selke-31
2012-13,33,SJS,NHL,48,13,0.15,0.69,0.83,0.27,0.54,1.77,14,62,76,25,57,26,25,0,6,,2.9,1.5,4.4,Selke-45
2013-14,34,SJS,NHL,82,23,0.13,0.79,0.93,0.28,0.39,1.49,12,71,83,26,112,39,57,4,20,,5.3,2.6,7.9,AS-9Hart-22
2014-15,35,SJS,NHL,78,21,0.21,0.63,0.83,0.27,0.38,1.68,18,54,72,25,94,40,63,4,-4,17.1,5.0,1.5,6.5,Byng-46Selke-14
2015-16,36,SJS,NHL,82,27,0.23,0.77,1.00,0.33,0.66,1.48,21,71,92,31,123,48,52,2,25,21.7,7.1,2.9,10.0,
11 yrs,,SJS,NHL,835,291,0.25,0.81,1.06,0.35,0.58,1.88,231,742,973,328,1190,495,574,52,174,38.8,70.5,27.0,97.5,
8 yrs,,BOS,NHL,532,170,0.32,0.54,0.85,0.32,1.16,2.08,188,313,501,188,614,215,418,44,25,,37.5,12.2,49.7,
Career,,,NHL,1367,461,0.28,0.71,0.98,0.34,0.81,1.96,419,1055,1474,516,1804,710,992,96,199,38.8,108.1,39.2,147.2,
