
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
2000,23,SEA,,37,16,1,64,313,2,50,4.9,19.6,4.0,11,5,41,8.2,0,18,0.3,2.6,354,2,2,3
2001,24,SEA,RB,37,16,12,309,1318,14,88,4.3,82.4,19.3,59,44,343,7.8,2,28,2.8,21.4,1661,16,4,12
2002,25,SEA,RB,37,16,16,295,1175,16,58,4.0,73.4,18.4,78,59,460,7.8,2,80,3.7,28.8,1635,18,3,11
2003*,26,SEA,RB,37,16,15,326,1435,14,55,4.4,89.7,20.4,59,42,295,7.0,2,22,2.6,18.4,1730,16,4,14
2004*,27,SEA,RB,37,16,16,353,1696,16,44,4.8,106.0,22.1,38,23,170,7.4,4,24,1.4,10.6,1866,20,5,13
2005*+,28,SEA,RB,37,16,16,370,1880,27,88,5.1,117.5,23.1,29,15,78,5.2,1,9,0.9,4.9,1958,28,5,17
2006,29,SEA,RB,37,10,10,252,896,7,33,3.6,89.6,25.2,16,12,48,4.0,0,14,1.2,4.8,944,7,6,5
2007,30,SEA,RB,37,13,10,207,716,4,25,3.5,55.1,15.9,25,14,76,5.4,1,18,1.1,5.8,792,5,2,4
2008,31,WAS,,37,4,0,11,24,0,8,2.2,6.0,2.8,1,1,9,9.0,0,9,0.3,2.3,33,0,0,0
Career,,,,,123,96,2187,9453,100,88,4.3,76.9,17.8,316,215,1520,7.1,12,80,1.7,12.4,10973,112,31,79
8 yrs,,SEA,,,119,96,2176,9429,100,88,4.3,79.2,18.3,315,214,1511,7.1,12,80,1.8,12.7,10940,112,31,79
1 yr,,WAS,,,4,0,11,24,0,8,2.2,6.0,2.8,1,1,9,9.0,0,9,0.3,2.3,33,0,0,0
