
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2007,23,MIL,NL,113,492,451,91,146,26,6,34,97,15,5,29,112,.324,.370,.634,1.004,154,286,13,7,0,5,1,*5,MVP-24RoY-1
2008 ★,24,MIL,NL,151,663,611,92,174,39,7,37,106,14,4,42,129,.285,.335,.553,.888,130,338,13,6,0,4,4,*7/D,ASMVP-3SS
2009 ★,25,MIL,NL,158,708,635,113,203,39,6,32,114,20,6,57,121,.320,.386,.551,.937,146,350,6,13,0,3,1,*7,ASMVP-11SS
2010 ★,26,MIL,NL,157,685,619,101,188,45,1,25,103,14,3,56,105,.304,.365,.501,.866,131,310,17,6,0,3,1,*7/D,ASMVP-15SS
2011 ★,27,MIL,NL,150,629,563,109,187,38,6,33,111,33,6,58,93,.332,.397,.597,.994,166,336,9,5,0,3,2,*7/D,ASMVP-1SS
2012 ★,28,MIL,NL,154,677,598,108,191,36,3,41,112,30,7,63,128,.319,.391,.595,.987,158,356,12,11,0,5,15,*7/D,ASMVP-2SS
2013,29,MIL,NL,61,253,225,30,67,14,2,9,38,4,5,27,56,.298,.372,.498,.869,136,112,8,0,0,1,7,7,
2014,30,MIL,NL,135,580,530,68,141,30,6,19,81,11,5,41,113,.266,.324,.453,.777,113,240,17,6,0,3,3,*9/8D,
2015 ★,31,MIL,NL,140,568,506,87,144,27,3,25,84,24,4,54,115,.285,.356,.498,.854,131,252,20,4,0,3,4,*9/D,AS
2016,32,MIL,NL,15,61,54,9,18,3,0,3,12,0,1,7,11,.333,.410,.556,.965,160,30,2,0,0,0,1,*7/D,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,1234,5316,4792,808,1459,297,40,258,858,165,46,434,983,.304,.367,.545,.912,142,2610,117,58,0,30,39,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,698,629,106,192,39,5,34,113,22,6,57,129,.304,.367,.545,.912,142,343,15,8,0,4,5,,
