
,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,
Season,Age,Tm,Lg,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,E+/-,OPS,DPS,PS,Awards
2005-06,18,PIT,NHL,81,37,0.48,0.78,1.26,0.46,1.36,3.43,39,60,99,38,135,60,84,8,-1,,8.9,1.6,10.5,AS-3Calder-2Hart-24
2006-07,19,PIT,NHL,79,42,0.46,1.06,1.52,0.53,0.76,3.16,38,84,122,44,137,73,56,2,10,,11.3,2.0,13.3,AS-1Byng-29Hart-1Pearson-1Ross-1
2007-08,20,PIT,NHL,53,25,0.45,0.91,1.36,0.48,0.74,3.26,27,51,78,29,90,37,40,5,18,,7.2,1.9,9.0,AS-5AS-6Byng-34Hart-17
2008-09,21,PIT,NHL,77,36,0.43,0.91,1.34,0.47,0.99,3.09,35,71,106,38,129,53,81,8,3,,9.4,1.7,11.1,AS-3Byng-35Hart-6
2009-10,22,PIT,NHL,81,43,0.63,0.72,1.35,0.53,0.88,3.68,56,61,117,47,138,48,79,4,15,,12.2,2.4,14.7,AS-2Byng-54Hart-3Richard-1Selke-30
2010-11,23,PIT,NHL,41,26,0.78,0.83,1.61,0.64,0.76,3.93,35,36,71,29,78,26,33,1,20,,8.2,1.9,10.1,AS-5Hart-20
2011-12,24,PIT,NHL,22,12,0.36,1.32,1.68,0.55,0.64,3.41,9,32,41,14,46,13,18,0,15,,3.9,1.0,5.0,Byng-28
2012-13,25,PIT,NHL,36,19,0.42,1.14,1.56,0.53,0.44,3.44,29,77,106,37,73,23,24,0,26,,5.8,1.7,7.5,AS-1Byng-33Hart-2Pearson-1Selke-15
2013-14,26,PIT,NHL,80,37,0.45,0.85,1.30,0.47,0.58,3.24,41,75,116,43,137,57,65,2,18,,10.7,2.8,13.5,AS-1Hart-1Pearson-1Ross-1Selke-18
2014-15,27,PIT,NHL,77,30,0.36,0.73,1.09,0.39,0.61,3.08,32,61,93,34,105,41,61,3,5,15.6,8.2,2.0,10.3,AS-2Hart-5Selke-19
2015-16,28,PIT,NHL,80,33,0.45,0.61,1.06,0.41,0.53,3.10,41,55,96,37,114,39,59,4,19,10.6,9.1,2.4,11.5,
Career,,,NHL,707,341,0.48,0.85,1.33,0.48,0.78,3.31,382,663,1045,389,1182,470,600,37,148,26.2,95.0,21.6,116.6,
