
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2010,24,OAK,AL,14,34,32,1,5,1,0,1,4,0,0,2,12,.156,.206,.281,.487,32,9,0,0,0,0,0,/2D3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,26,OAK,AL,75,294,274,34,66,16,0,9,33,4,1,14,61,.241,.289,.398,.687,91,109,6,5,0,1,0,5/23,
2013,27,OAK,AL,158,668,579,89,174,37,3,24,93,5,2,76,110,.301,.384,.499,.883,145,289,15,6,1,6,2,*5/D36,MVP-4
2014 ★,28,OAK,AL,158,695,608,93,155,31,2,29,98,8,0,76,130,.255,.342,.456,.798,127,277,16,7,0,4,5,*5/D,ASMVP-8
2015 ★,29,TOR,AL,158,711,620,122,184,41,2,41,123,6,0,73,133,.297,.371,.568,.939,155,352,16,6,2,10,0,*5/D,ASMVP-1SS
2016,30,TOR,AL,17,75,67,16,19,5,1,6,15,1,0,7,21,.284,.360,.657,1.017,184,44,1,1,0,0,0,*5/D,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,580,2477,2180,355,603,131,8,110,366,24,3,248,467,.277,.354,.495,.849,136,1080,54,25,3,21,7,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,692,609,99,168,37,2,31,102,7,1,69,130,.277,.354,.495,.849,136,302,15,7,1,6,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAK (4 yrs),OAK (4 yrs),OAK (4 yrs),OAK (4 yrs),405,1691,1493,217,400,85,5,63,228,17,3,168,313,.268,.347,.458,.805,125,684,37,18,1,11,7,,
TOR (2 yrs),TOR (2 yrs),TOR (2 yrs),TOR (2 yrs),175,786,687,138,203,46,3,47,138,7,0,80,154,.295,.370,.576,.946,158,396,17,7,2,10,0,,
