
Season,Team,Lg,Salary
1997-98,San Antonio Spurs,NBA,$2967840
1998-99,San Antonio Spurs,NBA,$3413000
1999-00,San Antonio Spurs,NBA,$3858240
2000-01,San Antonio Spurs,NBA,$9660000
2001-02,San Antonio Spurs,NBA,$10865250
2002-03,San Antonio Spurs,NBA,$12072500
2003-04,San Antonio Spurs,NBA,$12676125
2004-05,San Antonio Spurs,NBA,$14260641
2005-06,San Antonio Spurs,NBA,$15845156
2006-07,San Antonio Spurs,NBA,$17429672
2007-08,San Antonio Spurs,NBA,$19014188
2008-09,San Antonio Spurs,NBA,$20598704
2009-10,San Antonio Spurs,NBA,$22183220
2010-11,San Antonio Spurs,NBA,$18700000
2011-12,San Antonio Spurs,NBA,$21164619
2012-13,San Antonio Spurs,NBA,$9638554
2013-14,San Antonio Spurs,NBA,$10361446
2014-15,San Antonio Spurs,NBA,$10000000
Career,(may be incomplete),,$234709155
