
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,19,SEA,NBA,SG,80,2768,15.8,.519,.150,.328,2.8,10.9,6.9,12.0,1.4,1.9,12.9,28.1,,0.4,1.9,2.3,.040,,-0.6,-0.7,-1.4,0.4
2008-09,20,OKC,NBA,SF,74,2885,20.8,.577,.165,.377,3.0,16.4,9.6,13.5,1.7,1.4,12.2,28.3,,5.2,2.7,7.9,.132,,2.2,-0.5,1.8,2.8
2009-10 ★,21,OKC,NBA,SF,82,3239,26.2,.607,.210,.504,3.8,17.9,11.0,13.5,1.8,1.9,11.7,32.0,,11.1,5.0,16.1,.238,,4.9,0.2,5.1,5.8
2010-11 ★,22,OKC,NBA,SF,78,3038,23.6,.589,.269,.439,2.3,17.7,10.3,13.2,1.5,1.8,10.6,30.6,,8.6,3.3,12.0,.189,,3.7,-0.8,2.9,3.7
2011-12 ★,23,OKC,NBA,SF,66,2546,26.2,.610,.265,.386,1.9,20.4,11.8,17.5,1.8,2.2,14.0,31.3,,8.5,3.7,12.2,.230,,4.7,0.5,5.2,4.6
2012-13 ★,24,OKC,NBA,SF,81,3119,28.3,.647,.233,.523,1.8,20.3,11.8,21.7,1.9,2.6,13.7,29.8,,13.6,5.3,18.9,.291,,6.2,1.4,7.7,7.6
2013-14 ★,25,OKC,NBA,SF,81,3122,29.8,.635,.291,.477,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33.0,,14.8,4.4,19.2,.295,,8.4,0.4,8.8,8.5
2014-15 ★,26,OKC,NBA,SF,27,913,27.6,.633,.340,.366,1.9,18.7,10.4,22.2,1.3,2.2,12.0,29.1,,3.8,1.0,4.8,.252,,6.3,-0.2,6.1,1.9
2015-16 ★,27,OKC,NBA,SF,72,2578,28.2,.634,.348,.361,2.0,21.8,12.4,24.2,1.3,2.5,13.5,30.6,,11.0,3.5,14.5,.270,,7.0,0.9,7.9,6.4
Career,,,NBA,,641,24208,25.0,.605,.246,.426,2.5,18.0,10.6,17.9,1.6,2.0,12.5,30.5,,77.0,30.9,107.9,.214,,4.7,0.2,4.8,41.7
