
,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,,,,,,,,
Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TSA,TOI,ATOI,FOwin,FOloss,FO%,HIT,BLK,TK,GV,Awards
1994-95,21,QUE,NHL,47,15,35,50,17,16,12,3,0,3,22,12,1,86,17.4,,,,,,,,,,,Calder-1
1995-96,22,COL,NHL,82,30,86,116,26,47,20,7,3,3,50,32,4,217,13.8,,,,,,,,,,,AS-5Byng-11Hart-13
1996-97,23,COL,NHL,65,28,58,86,31,73,19,5,4,4,34,21,3,188,14.9,,,,,,,,,,,AS-3Hart-11Selke-2
1997-98,24,COL,NHL,72,25,66,91,6,94,15,7,3,7,36,30,0,202,12.4,,,,,,,,,,,AS-1Hart-8Selke-6
1998-99,25,COL,NHL,78,30,67,97,27,108,19,9,2,7,35,28,4,217,13.8,,1832,23:29,,,,,,,,AS-1AS-7Hart-7Selke-8
1999-00,26,COL,NHL,49,14,37,51,9,52,11,3,0,2,25,12,0,105,13.3,,1025,20:55,,,,,,,,Selke-28
2000-01,27,COL,NHL,73,27,62,89,23,54,13,12,2,5,34,24,4,178,15.2,,1518,20:48,,,,,,,,AS-6Byng-32Selke-11
2002-03,29,COL,NHL,75,29,77,106,52,70,21,8,0,2,52,25,0,166,17.5,,1450,19:20,,,,,,,,AS-1Byng-44Hart-1Ross-1Selke-4
2003-04,30,COL,NHL,39,18,37,55,16,30,14,3,1,5,16,21,0,85,21.2,,749,19:12,,,,,,,,AS-15Selke-34
2005-06,32,PHI,NHL,60,19,56,75,21,46,10,8,1,2,32,24,0,132,14.4,,1127,18:47,,,,,,,,AS-9Hart-17
2006-07,33,TOT,NHL,57,13,42,55,7,88,7,6,0,3,23,19,0,99,13.1,,1043,18:18,,,,,,,,
2006-07,33,PHI,NHL,40,11,29,40,2,72,6,5,0,2,16,13,0,63,17.5,,710,17:44,,,,,,,,
2006-07,33,NSH,NHL,17,2,13,15,5,16,1,1,0,1,7,6,0,36,5.6,,333,19:36,,,,,,,,
2007-08,34,COL,NHL,9,1,13,14,7,8,1,0,0,0,9,4,0,15,6.7,21,173,19:15,4,0,100.0,9,0,10,15,
2010-11,37,COL,NHL,2,0,0,0,-4,4,0,0,0,0,0,0,0,3,0.0,7,35,17:35,0,0,,3,0,1,0,
11 yrs,,COLQUE,NHL,591,217,538,755,210,556,145,57,15,38,313,209,16,1462,14.8,1472,6782,20:52,4,0,100.0,12,0,11,15,
2 yrs,,PHI,NHL,100,30,85,115,23,118,16,13,1,4,48,37,0,195,15.4,,1837,18:22,,,,,,,,
1 yr,,NSH,NHL,17,2,13,15,5,16,1,1,0,1,7,6,0,36,5.6,,333,19:36,,,,,,,,
Career,,,NHL,708,249,636,885,238,690,162,71,16,43,368,252,16,1693,14.7,1703,8952,20:15,4,0,100.0,12,0,11,15,
