
,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,Point Shares,Point Shares,Point Shares,
Season,Age,Tm,Lg,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Awards
1994-95,21,QUE,NHL,47,18,0.32,0.74,1.06,0.38,0.34,1.83,26,61,87,31,65,22,40,14,17,4.1,0.9,5.0,Calder-1
1995-96,22,COL,NHL,82,40,0.37,1.05,1.41,0.49,0.57,2.65,29,83,112,38,147,55,96,30,26,9.5,1.5,11.0,AS-5Byng-11Hart-13
1996-97,23,COL,NHL,65,31,0.43,0.89,1.32,0.48,1.12,2.89,29,60,89,32,118,42,54,9,31,8.1,1.9,10.0,AS-3Hart-11Selke-2
1997-98,24,COL,NHL,72,31,0.35,0.92,1.26,0.43,1.31,2.81,29,76,105,37,121,52,74,11,6,9.0,1.1,10.1,AS-1Hart-8Selke-6
1998-99,25,COL,NHL,78,34,0.38,0.86,1.24,0.43,1.38,2.78,34,76,110,39,123,50,70,24,27,8.0,2.8,10.8,AS-1AS-7Hart-7Selke-8
1999-00,26,COL,NHL,49,18,0.29,0.76,1.04,0.36,1.06,2.14,15,40,55,19,68,28,35,4,9,3.9,1.5,5.4,Selke-28
2000-01,27,COL,NHL,73,31,0.37,0.85,1.22,0.42,0.74,2.44,29,66,95,34,114,54,53,16,23,7.6,2.4,10.0,AS-6Byng-32Selke-11
2002-03,29,COL,NHL,75,36,0.39,1.03,1.41,0.48,0.93,2.21,33,85,118,41,138,44,42,0,52,10.2,3.4,13.6,AS-1Byng-44Hart-1Ross-1Selke-4
2003-04,30,COL,NHL,39,19,0.46,0.95,1.41,0.50,0.77,2.18,21,42,63,23,66,28,25,3,16,5.9,1.5,7.4,AS-15Selke-34
2005-06,32,PHI,NHL,60,26,0.32,0.93,1.25,0.43,0.77,2.20,19,54,73,25,92,41,30,0,21,6.1,1.8,8.0,AS-9Hart-17
2006-07,33,TOT,NHL,57,18,0.23,0.74,0.96,0.32,1.54,1.74,13,42,55,19,71,31,33,0,7,4.0,1.4,5.4,
2006-07,33,PHI,NHL,40,14,0.28,0.73,1.00,0.34,1.80,1.58,11,29,40,14,51,23,26,0,2,3.2,0.9,4.1,
2006-07,33,NSH,NHL,17,5,0.12,0.76,0.88,0.26,0.94,2.12,2,13,15,5,20,8,7,0,5,0.8,0.5,1.3,
2007-08,34,COL,NHL,9,4,0.11,1.44,1.56,0.44,0.89,1.67,1,14,15,4,16,6,3,0,7,1.1,0.5,1.6,
2010-11,37,COL,NHL,2,0,0.00,0.00,0.00,0.00,2.00,1.50,0,0,0,0,0,0,4,0,-4,-0.1,-0.1,-0.2,
11 yrs,,QUECOL,NHL,591,261,0.37,0.91,1.28,0.44,0.94,2.47,246,603,849,299,976,381,496,111,210,67.3,17.3,84.6,
2 yrs,,PHI,NHL,100,39,0.30,0.85,1.15,0.39,1.18,1.95,30,83,113,39,143,64,56,0,23,9.3,2.7,12.1,
1 yr,,NSH,NHL,17,5,0.12,0.76,0.88,0.26,0.94,2.12,2,13,15,5,20,8,7,0,5,0.8,0.5,1.3,
Career,,,NHL,708,305,0.35,0.90,1.25,0.43,0.97,2.39,278,699,977,342,1139,453,559,111,238,77.4,20.6,98.0,
