
Season,Team,Lg,Salary
1995-96,Minnesota Timberwolves,NBA,$1622000
1996-97,Minnesota Timberwolves,NBA,$1666000
1997-98,Minnesota Timberwolves,NBA,$2109120
1998-99,Minnesota Timberwolves,NBA,$14000000
1999-00,Minnesota Timberwolves,NBA,$16806300
2000-01,Minnesota Timberwolves,NBA,$19610000
2001-02,Minnesota Timberwolves,NBA,$22400000
2002-03,Minnesota Timberwolves,NBA,$25200000
2003-04,Minnesota Timberwolves,NBA,$28000000
2004-05,Minnesota Timberwolves,NBA,$16000000
2005-06,Minnesota Timberwolves,NBA,$18000000
2006-07,Minnesota Timberwolves,NBA,$21000000
2007-08,Boston Celtics,NBA,$23750000
2008-09,Boston Celtics,NBA,$24751934
2009-10,Boston Celtics,NBA,$16400000
2010-11,Boston Celtics,NBA,$18800000
2011-12,Boston Celtics,NBA,$21247044
2012-13,Boston Celtics,NBA,$11566265
2013-14,Brooklyn Nets,NBA,$12443735
2014-15,Minnesota Timberwolves,NBA,$12000000
Career,(may be incomplete),,$327372398
