
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1996,21,MON,NL,9,27,27,2,5,0,0,1,1,0,0,0,3,.185,.185,.296,.481,24,8,1,0,0,0,0,/98,
1997,22,MON,NL,90,354,325,44,98,22,2,11,40,3,4,19,39,.302,.350,.483,.833,117,157,11,7,0,3,2,9/8,RoY-6
1998,23,MON,NL,159,677,623,108,202,37,7,38,109,11,9,42,95,.324,.371,.589,.960,150,367,15,7,0,5,13,*9,MVP-13
1999 ★,24,MON,NL,160,674,610,102,193,37,5,42,131,14,7,55,62,.316,.378,.600,.978,146,366,18,7,0,2,14,*9,ASMVP-11SS
2000 ★,25,MON,NL,154,641,571,101,197,28,11,44,123,9,10,58,74,.345,.410,.664,1.074,162,379,15,8,0,4,23,*9/D,ASMVP-6SS
2001 ★,26,MON,NL,159,671,599,107,184,45,4,34,108,37,16,60,88,.307,.377,.566,.943,139,339,24,9,0,3,24,*9,ASMVP-24
2002 ★,27,MON,NL,161,709,614,106,206,37,2,39,111,40,20,84,70,.336,.417,.593,1.010,160,364,20,6,0,5,32,*9,ASMVP-4SS
2003,28,MON,NL,112,467,394,71,130,20,3,25,79,9,5,63,53,.330,.426,.586,1.012,156,231,18,6,0,4,22,*9,MVP-17
2004 ★,29,ANA,AL,156,680,612,124,206,39,2,39,126,15,3,52,74,.337,.391,.598,.989,157,366,19,8,0,8,14,*9D,ASMVP-1SS
2005 ★,30,LAA,AL,141,594,520,95,165,29,2,32,108,13,1,61,48,.317,.394,.565,.959,154,294,16,8,0,5,26,*9D,ASMVP-3SS
2006 ★,31,LAA,AL,156,665,607,92,200,34,1,33,116,15,5,50,68,.329,.382,.552,.934,138,335,16,4,0,4,25,*9D,ASMVP-9SS
2007 ★,32,LAA,AL,150,660,574,89,186,45,1,27,125,2,3,71,62,.324,.403,.547,.950,147,314,19,9,0,6,28,9D,ASMVP-3SS
2008,33,LAA,AL,143,600,541,85,164,31,3,27,91,5,3,51,77,.303,.365,.521,.886,130,282,27,4,0,4,16,9D,MVP-14
2009,34,LAA,AL,100,407,383,59,113,16,1,15,50,2,1,19,56,.295,.334,.460,.794,107,176,16,4,0,1,3,D/9,
2010 ★,35,TEX,AL,152,643,593,83,178,27,1,29,115,4,5,35,60,.300,.345,.496,.841,119,294,19,9,0,6,5,*D9/7,ASMVP-11SS
2011,36,BAL,AL,145,590,562,60,163,30,1,13,63,2,2,17,56,.290,.317,.416,.733,98,234,23,7,0,4,3,*D,
16 Yrs,16 Yrs,16 Yrs,16 Yrs,2147,9059,8155,1328,2590,477,46,449,1496,181,94,737,985,.318,.379,.553,.931,140,4506,277,103,0,64,250,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,684,615,100,195,36,3,34,113,14,7,56,74,.318,.379,.553,.931,140,340,21,8,0,5,19,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MON (8 yrs),MON (8 yrs),MON (8 yrs),MON (8 yrs),1004,4220,3763,641,1215,226,34,234,702,123,71,381,484,.323,.390,.588,.978,148,2211,122,50,0,26,130,,
LAA (6 yrs),LAA (6 yrs),LAA (6 yrs),LAA (6 yrs),846,3606,3237,544,1034,194,10,173,616,52,16,304,385,.319,.381,.546,.927,141,1767,113,37,0,28,112,,
TEX (1 yr),TEX (1 yr),TEX (1 yr),TEX (1 yr),152,643,593,83,178,27,1,29,115,4,5,35,60,.300,.345,.496,.841,119,294,19,9,0,6,5,,
BAL (1 yr),BAL (1 yr),BAL (1 yr),BAL (1 yr),145,590,562,60,163,30,1,13,63,2,2,17,56,.290,.317,.416,.733,98,234,23,7,0,4,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL (8 yrs),AL (8 yrs),AL (8 yrs),AL (8 yrs),1143,4839,4392,687,1375,251,12,215,794,58,23,356,501,.313,.369,.523,.891,133,2295,155,53,0,38,120,,
NL (8 yrs),NL (8 yrs),NL (8 yrs),NL (8 yrs),1004,4220,3763,641,1215,226,34,234,702,123,71,381,484,.323,.390,.588,.978,148,2211,122,50,0,26,130,,
