
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2007,26,CIN,NL,90,337,298,52,87,17,2,19,47,3,3,33,65,.292,.368,.554,.922,131,165,6,4,0,2,4,89/7,
2008 ★,27,TEX,AL,156,704,624,98,190,35,5,32,130,9,1,64,126,.304,.371,.530,.901,135,331,8,7,0,9,9,*89D,ASMVP-7SS
2009 ★,28,TEX,AL,89,365,336,43,90,19,2,10,54,8,3,24,79,.268,.315,.426,.741,90,143,5,1,0,4,2,89/D,AS
2010 ★,29,TEX,AL,133,571,518,95,186,40,3,32,100,8,1,43,95,.359,.411,.633,1.044,170,328,11,5,1,4,5,*78D,ASMVP-1SS
2011 ★,30,TEX,AL,121,538,487,80,145,31,5,25,94,8,1,39,93,.298,.346,.536,.882,130,261,8,2,0,10,13,*78/D,ASMVP-22
2012 ★,31,TEX,AL,148,636,562,103,160,31,2,43,128,7,4,60,162,.285,.354,.577,.930,141,324,9,5,0,9,13,*87D/9,ASMVP-5SS
2013,32,LAA,AL,151,636,576,73,144,32,5,21,79,4,0,47,158,.250,.307,.432,.739,108,249,16,4,0,9,4,9D7/8,
2014,33,LAA,AL,89,381,338,43,89,21,0,10,44,3,3,32,108,.263,.331,.414,.745,115,140,2,5,0,6,5,7D/8,
2015,34,TEX,AL,50,182,170,22,43,8,0,8,25,0,0,10,52,.253,.291,.441,.732,94,75,1,0,0,2,0,79/D,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,1027,4350,3909,609,1134,234,24,200,701,50,16,352,938,.290,.349,.516,.865,129,2016,66,33,1,55,55,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,686,617,96,179,37,4,32,111,8,3,56,148,.290,.349,.516,.865,129,318,10,5,0,9,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEX (6 yrs),TEX (6 yrs),TEX (6 yrs),TEX (6 yrs),697,2996,2697,441,814,164,17,150,531,40,10,240,607,.302,.359,.542,.901,134,1462,42,20,1,38,42,,
LAA (2 yrs),LAA (2 yrs),LAA (2 yrs),LAA (2 yrs),240,1017,914,116,233,53,5,31,123,7,3,79,266,.255,.316,.426,.741,110,389,18,9,0,15,9,,
CIN (1 yr),CIN (1 yr),CIN (1 yr),CIN (1 yr),90,337,298,52,87,17,2,19,47,3,3,33,65,.292,.368,.554,.922,131,165,6,4,0,2,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL (8 yrs),AL (8 yrs),AL (8 yrs),AL (8 yrs),937,4013,3611,557,1047,217,22,181,654,47,13,319,873,.290,.348,.513,.860,128,1851,60,29,1,53,51,,
NL (1 yr),NL (1 yr),NL (1 yr),NL (1 yr),90,337,298,52,87,17,2,19,47,3,3,33,65,.292,.368,.554,.922,131,165,6,4,0,2,4,,
