
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1996-97,21,PHI,NBA,PG,76,3045,18.0,.513,.303,.362,4.0,7.2,5.6,33.6,2.6,0.6,16.2,28.9,,3.1,1.0,4.1,.065,,3.4,-2.0,1.5,2.7
1997-98,22,PHI,NBA,PG,80,3150,20.4,.535,.167,.380,3.1,7.7,5.4,30.6,3.0,0.6,12.9,26.9,,6.3,2.8,9.0,.138,,4.5,-0.7,3.8,4.6
1998-99,23,PHI,NBA,SG,48,1990,22.2,.508,.188,.449,3.8,10.1,6.9,24.2,3.0,0.3,11.7,32.6,,4.3,2.9,7.2,.173,,4.9,-0.3,4.6,3.3
1999-00 ★,24,PHI,NBA,SG,70,2853,20.0,.496,.151,.358,2.7,7.7,5.2,23.0,2.6,0.1,10.3,34.4,,3.3,3.6,6.9,.116,,3.4,-0.8,2.6,3.3
2000-01 ★,25,PHI,NBA,SG,71,2979,24.0,.518,.169,.397,1.9,8.3,5.2,23.0,3.2,0.5,10.0,35.9,,7.3,4.5,11.8,.190,,5.0,-0.1,4.8,5.1
2001-02 ★,26,PHI,NBA,SG,60,2622,21.9,.489,.161,.351,1.9,9.6,5.8,27.6,3.5,0.4,11.0,37.8,,2.6,4.3,6.9,.126,,3.7,0.2,3.8,3.9
2002-03 ★,27,PHI,NBA,SG,82,3485,21.2,.500,.156,.379,2.3,9.5,5.8,25.1,3.4,0.3,11.2,32.9,,5.0,4.2,9.2,.127,,3.1,-0.3,2.8,4.2
2003-04 ★,28,PHI,NBA,SG,48,2040,19.3,.478,.177,.404,2.0,8.2,5.1,34.4,3.1,0.2,13.6,35.3,,0.5,2.3,2.8,.066,,3.1,-0.6,2.5,2.3
2004-05 ★,29,PHI,NBA,PG,75,3174,23.2,.532,.186,.432,1.8,8.9,5.3,37.6,2.9,0.2,13.7,35.0,,5.3,3.7,9.0,.136,,4.8,-0.5,4.3,5.0
2005-06 ★,30,PHI,NBA,PG,72,3103,25.9,.543,.122,.455,1.7,7.1,4.4,34.9,2.3,0.2,10.2,35.8,,8.8,1.8,10.6,.165,,6.0,-2.5,3.5,4.3
2006-07 ★,31,TOT,NBA,SG-PG,65,2761,19.6,.540,.150,.465,1.0,6.9,4.0,29.6,2.2,0.3,14.5,29.3,,4.0,2.2,6.2,.108,,2.2,-1.5,0.8,1.9
2006-07 ★,31,PHI,NBA,PG,15,640,23.5,.529,.145,.475,1.3,6.4,3.8,34.0,2.7,0.1,13.0,36.7,,1.0,0.5,1.6,.119,,4.1,-2.2,2.0,0.6
2006-07 ★,31,DEN,NBA,SG,50,2121,18.4,.545,.152,.460,0.9,7.1,4.0,28.3,2.1,0.4,15.1,27.1,,2.9,1.7,4.6,.105,,1.6,-1.2,0.4,1.3
2007-08 ★,32,DEN,NBA,SG,82,3424,20.9,.567,.177,.512,1.5,6.1,3.8,27.4,2.2,0.2,11.4,26.7,,8.9,2.8,11.6,.163,,3.5,-1.9,1.6,3.1
2008-09 ★,33,TOT,NBA,PG-SG,57,2093,15.8,.504,.119,.416,1.7,8.2,4.9,23.1,2.3,0.2,12.9,25.7,,0.9,1.9,2.9,.066,,0.0,-0.7,-0.7,0.7
2008-09 ★,33,DEN,NBA,SG,3,123,15.2,.549,.200,.625,2.9,4.6,3.8,25.9,1.2,0.6,16.4,22.1,,0.2,0.1,0.2,.087,,-0.3,-3.2,-3.5,0.0
2008-09 ★,33,DET,NBA,PG,54,1970,15.9,.502,.115,.406,1.6,8.4,5.0,23.0,2.4,0.2,12.7,25.9,,0.8,1.9,2.7,.065,,0.0,-0.5,-0.5,0.7
2009-10 ★,34,TOT,NBA,SG-PG,28,865,13.4,.515,.079,.415,2.1,8.7,5.4,21.0,1.2,0.2,14.6,23.0,,0.5,0.2,0.7,.037,,-1.4,-2.8,-4.2,-0.5
2009-10 ★,34,MEM,NBA,PG,3,67,16.9,.591,.038,.462,1.7,5.2,3.5,28.0,0.8,0.0,18.3,25.0,,0.1,0.0,0.1,.074,,-0.2,-5.1,-5.3,-0.1
2009-10 ★,34,PHI,NBA,SG,25,798,13.1,.508,.083,.410,2.2,9.0,5.5,20.4,1.2,0.2,14.3,22.8,,0.4,0.2,0.6,.034,,-1.5,-2.6,-4.1,-0.4
Career,,,NBA,,914,37584,20.9,.518,.170,.410,2.2,8.1,5.1,28.8,2.7,0.3,12.2,31.8,,60.9,38.1,99.0,.126,,3.6,-1.0,2.7,44.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 seasons,,PHI,NBA,,722,29879,21.5,.513,.173,.398,2.5,8.4,5.4,29.4,2.9,0.3,12.0,33.2,,48.0,31.7,79.7,.128,,4.1,-0.9,3.2,39.0
3 seasons,,DEN,NBA,,135,5668,19.8,.559,.168,.495,1.3,6.4,3.9,27.7,2.2,0.3,12.9,26.7,,12.0,4.5,16.5,.140,,2.7,-1.7,1.0,4.3
1 season,,DET,NBA,,54,1970,15.9,.502,.115,.406,1.6,8.4,5.0,23.0,2.4,0.2,12.7,25.9,,0.8,1.9,2.7,.065,,0.0,-0.5,-0.5,0.7
1 season,,MEM,NBA,,3,67,16.9,.591,.038,.462,1.7,5.2,3.5,28.0,0.8,0.0,18.3,25.0,,0.1,0.0,0.1,.074,,-0.2,-5.1,-5.3,-0.1
