
Season,Team,Lg,Salary
2003-04,Cleveland Cavaliers,NBA,$4018920
2004-05,Cleveland Cavaliers,NBA,$4320360
2005-06,Cleveland Cavaliers,NBA,$4621800
2006-07,Cleveland Cavaliers,NBA,$5828090
2007-08,Cleveland Cavaliers,NBA,$13041250
2008-09,Cleveland Cavaliers,NBA,$14410581
2009-10,Cleveland Cavaliers,NBA,$15779912
2010-11,Miami Heat,NBA,$14500000
2011-12,Miami Heat,NBA,$16022500
2012-13,Miami Heat,NBA,$17545000
2013-14,Miami Heat,NBA,$19067500
2014-15,Cleveland Cavaliers,NBA,$20644400
Career,(may be incomplete),,$149800313
