
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1992,24,TOT,MLB,102,343,305,52,73,21,2,11,50,2,3,27,76,.239,.312,.430,.741,105,131,5,7,0,4,0,45/36,
1992,24,TOR,AL,65,222,192,36,46,13,1,8,35,2,1,20,47,.240,.324,.443,.767,110,85,3,6,0,4,0,54/3,
1992,24,NYM,NL,37,121,113,16,27,8,1,3,15,0,2,7,29,.239,.289,.407,.696,97,46,2,1,0,0,0,4/56,
1993,25,NYM,NL,140,544,496,65,134,24,0,21,80,4,4,30,88,.270,.320,.446,.765,105,221,11,8,6,4,2,*45/6,
1994,26,NYM,NL,107,452,415,53,121,24,5,14,68,1,4,23,84,.292,.341,.475,.816,111,197,7,10,1,3,3,*4,
1995,27,NYM,NL,125,514,472,65,131,22,3,20,65,3,3,29,89,.278,.327,.464,.791,110,219,9,8,1,4,3,*4,
1996,28,TOT,MLB,128,477,437,61,124,27,1,12,55,6,4,31,78,.284,.330,.432,.762,101,189,8,2,1,6,1,53/4D,
1996,28,NYM,NL,89,361,335,45,97,20,1,9,39,4,3,21,56,.290,.331,.436,.766,105,146,7,1,1,3,1,5,
1996,28,CLE,AL,39,116,102,16,27,7,0,3,16,2,1,10,22,.265,.328,.422,.749,89,43,1,1,0,3,0,3/45D,
1997,29,SFG,NL,155,651,580,90,145,38,2,29,121,11,3,48,133,.250,.316,.472,.789,105,274,14,13,0,10,6,*43,MVP-8
1998,30,SFG,NL,137,594,526,94,156,37,3,31,128,9,4,48,110,.297,.359,.555,.914,142,292,16,9,1,10,4,*4/3,MVP-9
1999 ★,31,SFG,NL,138,585,511,86,148,40,2,23,101,13,6,61,112,.290,.366,.511,.877,125,261,12,5,0,8,3,*4/3,ASMVP-26
2000 ★,32,SFG,NL,159,695,587,114,196,41,7,33,125,12,9,90,107,.334,.424,.596,1.021,162,350,17,9,0,9,6,*43,ASMVP-1SS
2001 ★,33,SFG,NL,159,696,607,84,181,49,6,22,106,7,6,65,96,.298,.369,.507,.877,131,308,11,11,0,13,4,*43,ASSS
2002,34,SFG,NL,152,682,623,102,195,42,2,37,108,5,1,52,101,.313,.368,.565,.933,147,352,20,4,0,3,3,*4/3,MVP-6SS
2003,35,HOU,NL,130,552,505,77,150,39,1,22,93,6,2,39,85,.297,.351,.509,.860,119,257,13,5,0,3,2,*4,
2004 ★,36,HOU,NL,145,606,540,96,156,34,8,27,107,7,3,49,96,.289,.348,.531,.880,123,287,23,6,0,11,3,*4/D,ASMVP-13
2005 ★,37,LAD,NL,149,637,553,100,160,36,0,29,105,6,2,72,85,.289,.377,.512,.889,133,283,19,8,0,4,8,*43,ASMVP-19SS
2006,38,LAD,NL,115,473,407,61,119,27,3,14,68,1,2,55,69,.292,.385,.477,.861,119,194,9,8,0,3,8,4/3,
2007,39,LAD,NL,136,562,494,78,149,36,1,20,79,1,3,57,61,.302,.375,.500,.875,123,247,17,5,0,6,4,*4,
2008,40,LAD,NL,121,474,440,42,123,23,1,12,59,0,1,25,52,.280,.327,.418,.745,96,184,13,7,0,2,1,*4/3,
17 Yrs,17 Yrs,17 Yrs,17 Yrs,2298,9537,8498,1320,2461,560,47,377,1518,94,60,801,1522,.290,.356,.500,.855,123,4246,224,125,10,103,61,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,672,599,93,173,39,3,27,107,7,4,56,107,.290,.356,.500,.855,123,299,16,9,1,7,4,,
,,,,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
SFG (6 yrs),SFG (6 yrs),SFG (6 yrs),SFG (6 yrs),900,3903,3434,570,1021,247,22,175,689,57,29,364,659,.297,.368,.535,.903,136,1837,90,51,1,53,26,,
NYM (5 yrs),NYM (5 yrs),NYM (5 yrs),NYM (5 yrs),498,1992,1831,244,510,98,10,67,267,12,16,110,346,.279,.327,.453,.780,107,829,36,28,9,14,9,,
LAD (4 yrs),LAD (4 yrs),LAD (4 yrs),LAD (4 yrs),521,2146,1894,281,551,122,5,75,311,8,8,209,267,.291,.367,.479,.847,119,908,58,28,0,15,21,,
HOU (2 yrs),HOU (2 yrs),HOU (2 yrs),HOU (2 yrs),275,1158,1045,173,306,73,9,49,200,13,5,88,181,.293,.350,.521,.870,121,544,36,11,0,14,5,,
CLE (1 yr),CLE (1 yr),CLE (1 yr),CLE (1 yr),39,116,102,16,27,7,0,3,16,2,1,10,22,.265,.328,.422,.749,89,43,1,1,0,3,0,,
TOR (1 yr),TOR (1 yr),TOR (1 yr),TOR (1 yr),65,222,192,36,46,13,1,8,35,2,1,20,47,.240,.324,.443,.767,110,85,3,6,0,4,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL (17 yrs),NL (17 yrs),NL (17 yrs),NL (17 yrs),2194,9199,8204,1268,2388,540,46,366,1467,90,58,771,1453,.291,.357,.502,.859,124,4118,220,118,10,96,61,,
AL (2 yrs),AL (2 yrs),AL (2 yrs),AL (2 yrs),104,338,294,52,73,20,1,11,51,4,2,30,69,.248,.325,.435,.761,102,128,4,7,0,7,0,,
