
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2008,20,LAD,NL,5,5,.500,4.26,22,21,0,0,0,0,107.2,109,51,51,11,52,3,100,1,0,7,470,98,4.08,1.495,9.1,0.9,4.3,8.4,1.92,
2009,21,LAD,NL,8,8,.500,2.79,31,30,1,0,0,0,171.0,119,55,53,7,91,4,185,1,2,11,701,143,3.08,1.228,6.3,0.4,4.8,9.7,2.03,
2010,22,LAD,NL,13,10,.565,2.91,32,32,0,1,1,0,204.1,160,73,66,13,81,9,212,7,2,5,848,133,3.12,1.179,7.0,0.6,3.6,9.3,2.62,
2011 ★,23,LAD,NL,21,5,.808,2.28,33,33,0,5,2,0,233.1,174,66,59,15,54,2,248,3,1,5,912,161,2.47,0.977,6.7,0.6,2.1,9.6,4.59,ASCYA-1MVP-12GG
2012 ★,24,LAD,NL,14,9,.609,2.53,33,33,0,2,2,0,227.2,170,70,64,16,63,5,229,5,2,6,901,150,2.89,1.023,6.7,0.6,2.5,9.1,3.63,ASCYA-2MVP-16
2013 ★,25,LAD,NL,16,9,.640,1.83,33,33,0,3,2,0,236.0,164,55,48,11,52,2,232,3,2,12,908,194,2.39,0.915,6.3,0.4,2.0,8.8,4.46,ASCYA-1MVP-7
2014 ★,26,LAD,NL,21,3,.875,1.77,27,27,0,6,2,0,198.1,139,42,39,9,31,0,239,2,2,7,749,197,1.81,0.857,6.3,0.4,1.4,10.8,7.71,ASCYA-1MVP-1
2015 ★,27,LAD,NL,16,7,.696,2.13,33,33,0,4,3,0,232.2,163,62,55,15,42,1,301,5,3,9,890,173,1.99,0.881,6.3,0.6,1.6,11.6,7.17,ASCYA-3MVP-10
2016,28,LAD,NL,2,0,1.000,1.50,4,4,0,0,0,0,30.0,20,6,5,2,3,0,30,0,0,2,111,258,2.20,0.767,6.0,0.6,0.9,9.0,10.00,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,116,56,.674,2.41,248,246,1,21,12,0,1641.0,1218,480,440,99,469,26,1776,27,14,64,6490,155,2.61,1.028,6.7,0.5,2.6,9.7,3.79,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,16,8,.674,2.41,34,34,0,3,2,0,226,168,66,61,14,65,4,244,4,2,9,893,155,2.61,1.028,6.7,0.5,2.6,9.7,3.79,
