
,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,
Season,Age,Tm,Lg,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,E+/-,OPS,DPS,PS,Awards
2006-07,20,PIT,NHL,78,31,0.42,0.67,1.09,0.40,1.03,3.10,35,52,87,33,125,64,63,4,2,,7.8,1.6,9.4,AS-6AS-10Calder-1
2007-08,21,PIT,NHL,82,40,0.57,0.72,1.29,0.49,0.95,3.32,52,63,115,46,137,60,67,6,16,,11.5,2.4,13.9,AS-1Hart-2
2008-09,22,PIT,NHL,82,40,0.43,0.95,1.38,0.48,0.98,3.54,37,80,117,42,143,55,80,9,17,,10.2,2.4,12.6,AS-9AS-1Hart-2Ross-1Selke-46Smythe-1
2009-10,23,PIT,NHL,67,28,0.42,0.73,1.15,0.42,1.49,4.00,31,51,82,31,103,43,67,1,-6,,7.4,1.2,8.5,AS-13
2010-11,24,PIT,NHL,43,14,0.35,0.51,0.86,0.33,0.42,4.23,17,23,40,16,59,27,36,0,-4,,3.3,0.8,4.1,
2011-12,25,PIT,NHL,75,43,0.67,0.79,1.45,0.57,0.93,4.52,57,65,122,49,132,48,66,0,18,,13.4,2.3,15.7,AS-1Hart-1Pearson-1Ross-1
2012-13,26,PIT,NHL,31,11,0.29,0.77,1.06,0.36,1.16,3.19,17,45,62,22,50,26,19,0,5,,3.0,0.7,3.7,
2013-14,27,PIT,NHL,60,25,0.38,0.82,1.20,0.42,1.03,3.18,26,54,80,29,101,45,47,1,10,,7.2,1.8,9.1,
2014-15,28,PIT,NHL,69,26,0.41,0.61,1.01,0.38,0.87,3.07,32,46,78,30,93,40,56,1,-2,9.3,7.3,1.5,8.8,
2015-16,29,PIT,NHL,57,23,0.47,0.54,1.02,0.40,1.14,2.84,30,35,65,26,73,33,41,2,1,10.3,6.5,1.1,7.6,
Career,,,NHL,644,282,0.46,0.72,1.18,0.44,1.01,3.50,334,514,848,322,1016,441,542,24,57,19.6,77.6,15.8,93.4,
