
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2006,22,BOS,AL,31,98,89,5,17,4,0,2,7,0,1,7,7,.191,.258,.303,.561,42,27,1,1,1,0,0,4/6,
2007,23,BOS,AL,139,581,520,86,165,39,1,8,50,7,1,47,42,.317,.380,.442,.823,112,230,8,7,5,2,1,*4/D,RoY-1
2008 ★,24,BOS,AL,157,726,653,118,213,54,2,17,83,20,1,50,52,.326,.376,.493,.869,123,322,17,7,7,9,1,*4,ASMVP-1GGSS
2009 ★,25,BOS,AL,154,714,626,115,185,48,1,15,72,20,8,74,45,.296,.371,.447,.819,110,280,19,5,3,6,3,*4,AS
2010 ★,26,BOS,AL,75,351,302,53,87,24,1,12,41,9,1,37,38,.288,.367,.493,.860,127,149,7,4,2,6,1,4,AS
2011,27,BOS,AL,159,731,635,102,195,37,3,21,91,26,8,86,85,.307,.387,.474,.861,131,301,12,1,2,7,6,*4,MVP-9GG
2012,28,BOS,AL,141,623,563,81,163,39,3,15,65,20,6,48,60,.290,.347,.449,.797,114,253,9,5,1,6,3,*4/D,
2013 ★,29,BOS,AL,160,724,641,91,193,42,2,9,84,17,5,73,75,.301,.372,.415,.787,115,266,24,3,0,7,4,*4,ASMVP-7GG
2014,30,BOS,AL,135,609,551,72,153,33,0,7,53,6,6,51,75,.278,.337,.376,.712,99,207,14,1,0,6,1,*4,GG
2015,31,BOS,AL,93,425,381,46,111,19,1,12,42,2,2,38,51,.291,.356,.441,.797,113,168,6,2,1,3,1,4/D,
2016,32,BOS,AL,14,66,62,10,18,3,0,1,5,0,0,4,11,.290,.333,.387,.720,101,24,5,0,0,0,0,*4,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,1258,5648,5023,779,1500,342,14,119,593,127,39,515,541,.299,.365,.443,.808,114,2227,122,36,22,52,21,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,727,647,100,193,44,2,15,76,16,5,66,70,.299,.365,.443,.808,114,287,16,5,3,7,3,,
