
,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,
Season,Age,Tm,Lg,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,E+/-,OPS,DPS,PS,Awards
2005-06,20,MDA,NHL,56,10,0.23,0.21,0.45,0.18,0.89,1.75,13,11,24,10,35,15,19,0,1,,1.9,0.8,2.6,
2006-07,21,ANA,NHL,82,16,0.21,0.33,0.54,0.20,0.67,2.37,18,27,45,17,65,28,27,2,12,,3.2,1.7,4.9,
2007-08,22,ANA,NHL,70,22,0.41,0.36,0.77,0.32,1.54,2.86,32,27,59,25,79,24,44,1,12,,5.4,2.1,7.5,
2008-09,23,ANA,NHL,78,27,0.41,0.51,0.92,0.35,1.40,3.63,34,41,75,30,104,38,57,1,10,,6.6,1.9,8.5,AS-5
2009-10,24,ANA,NHL,82,28,0.33,0.60,0.93,0.34,1.35,3.29,29,51,80,30,123,49,77,3,0,,6.4,1.7,8.1,AS-8
2010-11,25,ANA,NHL,82,39,0.61,0.59,1.20,0.48,1.27,3.54,55,51,106,44,131,48,92,18,9,,10.8,2.5,13.3,AS-1Hart-1Richard-1Selke-21
2011-12,26,ANA,NHL,80,26,0.46,0.29,0.75,0.33,1.59,3.46,42,25,67,30,85,34,70,12,-7,,6.1,1.7,7.9,AS-12
2012-13,27,ANA,NHL,44,14,0.34,0.48,0.82,0.31,1.64,2.91,29,39,68,26,58,20,33,5,10,,3.3,1.3,4.6,AS-13
2013-14,28,ANA,NHL,81,34,0.53,0.48,1.01,0.42,0.80,3.46,49,43,92,38,113,32,55,6,32,,9.7,2.5,12.3,AS-1Hart-13
2014-15,29,ANA,NHL,67,24,0.49,0.33,0.82,0.36,1.00,2.88,37,24,61,27,79,14,54,2,13,11.2,6.7,1.7,8.4,AS-9
2015-16,30,ANA,NHL,82,26,0.41,0.34,0.76,0.32,0.83,2.62,38,31,69,29,90,39,49,0,2,2.7,6.8,2.1,8.9,
11 yrs,,MDAANA,NHL,804,267,0.41,0.42,0.83,0.33,1.16,3.02,376,370,746,306,962,341,577,50,94,13.9,66.9,19.9,86.9,
Career,,,NHL,804,267,0.41,0.42,0.83,0.33,1.16,3.02,376,370,746,306,962,341,577,50,94,13.9,66.9,19.9,86.9,
