
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
2007*,22,MIN,RB,28,14,9,238,1341,12,73,5.6,95.8,17.0,28,19,268,14.1,1,60,1.4,19.1,1609,13,4,11
2008*+,23,MIN,RB,28,16,15,363,1760,10,67,4.8,110.0,22.7,39,21,125,6.0,0,16,1.3,7.8,1885,10,9,13
2009*+,24,MIN,RB,28,16,15,314,1383,18,64,4.4,86.4,19.6,57,43,436,10.1,0,63,2.7,27.3,1819,18,7,16
2010*,25,MIN,RB,28,15,15,283,1298,12,80,4.6,86.5,18.9,50,36,341,9.5,1,34,2.4,22.7,1639,13,1,10
2011,26,MIN,RB,28,12,12,208,970,12,54,4.7,80.8,17.3,24,18,139,7.7,1,22,1.5,11.6,1109,13,1,8
2012*+,27,MIN,RB,28,16,16,348,2097,12,82,6.0,131.1,21.8,51,40,217,5.4,1,20,2.5,13.6,2314,13,4,19
2013*,28,MIN,RB,28,14,14,279,1266,10,78,4.5,90.4,19.9,40,29,171,5.9,1,22,2.1,12.2,1437,11,5,11
2014,29,MIN,rb,28,1,1,21,75,0,17,3.6,75.0,21.0,3,2,18,9.0,0,9,2.0,18.0,93,0,0,1
2015*+,30,MIN,RB,28,16,16,327,1485,11,80,4.5,92.8,20.4,36,30,222,7.4,0,49,1.9,13.9,1707,11,7,14
Career,,,,,120,113,2381,11675,97,82,4.9,97.3,19.8,328,238,1937,8.1,5,63,2.0,16.1,13612,102,38,103
