
,,,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Scoring,Scoring,Scoring,Scoring,
Season,Age,Tm,Lg,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GPS,G,A,PTS,PIM,Awards
2007-08,20,MTL,NHL,41,40,24,12,3,103,1282,1179,.920,2.56,3,2413,24,.600,4,88,13.46,9.5,0,2,2,0,Calder-4Vezina-9
2008-09,21,MTL,NHL,52,49,23,16,10,143,1513,1370,.905,2.83,1,3036,30,.612,8,103,-4.55,8.5,0,1,1,4,
2009-10,22,MTL,NHL,41,39,13,20,5,109,1244,1135,.912,2.77,0,2358,21,.538,4,99,1.38,7.6,0,1,1,8,
2010-11,23,MTL,NHL,72,70,38,28,6,165,2147,1982,.923,2.35,8,4206,42,.600,9,88,22.04,15.4,0,2,2,13,AS-4Hart-7Vezina-5
2011-12,24,MTL,NHL,65,65,26,28,11,160,1914,1754,.916,2.43,4,3944,35,.538,8,97,5.49,12.3,0,2,2,6,
2012-13,25,MTL,NHL,39,38,21,13,4,97,1018,921,.905,2.59,3,2249,21,.553,8,108,-7.34,5.4,0,0,0,0,AS-11Hart-17Vezina-10
2013-14,26,MTL,NHL,59,59,34,20,5,134,1828,1694,.927,2.32,6,3464,38,.644,7,85,23.51,13.9,0,2,2,4,AS-4Hart-14Vezina-4
2014-15,27,MTL,NHL,66,66,44,16,6,130,1953,1823,.933,1.96,9,3977,39,.591,6,78,36.70,16.2,0,1,1,4,AS-1Hart-1Jennings-1Pearson-1Vezina-1
2015-16,28,MTL,NHL,12,12,10,2,0,24,365,341,.934,2.06,2,698,8,.667,1,77,7.08,3.0,0,0,0,0,
Career,,,NHL,447,438,233,155,50,1065,13264,12199,.920,2.43,36,26345,258,.589,55,,,91.7,0,11,11,39,
