
,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,Point Shares,Point Shares,Point Shares,
Season,Age,Tm,Lg,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Awards
1993-94,19,HAR,NHL,81,9,0.06,0.31,0.37,0.12,1.40,2.15,5,23,28,9,81,22,99,37,-3,1.2,4.1,5.3,
1994-95,20,HAR,NHL,43,5,0.12,0.21,0.33,0.12,1.26,2.19,9,15,24,9,40,11,55,14,-12,0.8,1.5,2.3,
1995-96,21,STL,NHL,78,9,0.09,0.23,0.32,0.11,1.41,1.77,7,17,24,8,86,29,106,31,-18,1.3,3.4,4.8,
1996-97,22,STL,NHL,79,13,0.14,0.30,0.44,0.16,1.81,1.86,11,25,36,13,103,26,90,28,15,2.8,5.1,7.9,AS-15Norris-15
1997-98,23,STL,NHL,81,12,0.11,0.33,0.44,0.15,2.22,1.79,10,31,41,14,118,15,84,28,47,2.9,7.3,10.3,AS-3AS-2Hart-15Norris-3
1998-99,24,STL,NHL,67,16,0.19,0.49,0.69,0.24,1.69,2.57,15,37,52,18,109,44,88,26,3,4.0,4.6,8.6,AS-5Norris-4
1999-00,25,STL,NHL,79,20,0.18,0.61,0.78,0.26,1.16,2.43,15,52,67,22,147,50,72,27,52,5.2,9.6,14.8,AS-1Hart-1Norris-1
2000-01,26,STL,NHL,51,15,0.16,0.76,0.92,0.30,1.47,2.37,9,42,51,16,93,41,49,18,21,4.3,4.7,9.0,AS-10Norris-10
2001-02,27,STL,NHL,78,15,0.09,0.51,0.60,0.19,1.54,2.62,8,45,53,17,120,42,90,35,23,3.4,7.0,10.4,AS-5Norris-5
2002-03,28,STL,NHL,5,1,0.20,0.60,0.80,0.27,2.00,2.20,1,3,4,1,6,1,12,5,-2,0.4,0.0,0.4,
2003-04,29,STL,NHL,80,18,0.18,0.50,0.68,0.23,1.10,2.54,16,46,62,21,107,49,89,30,-1,5.1,5.7,10.8,AS-3AS-2Hart-16Norris-3
2005-06,31,EDM,NHL,80,18,0.15,0.55,0.70,0.23,0.93,1.94,12,42,54,18,128,73,93,40,2,4.0,5.6,9.6,AS-5Hart-26Norris-7
2006-07,32,ANA,NHL,66,19,0.20,0.70,0.89,0.29,1.05,2.52,14,46,60,20,116,58,55,24,27,5.3,6.4,11.7,AS-3AS-2Hart-22Norris-3
2007-08,33,ANA,NHL,72,15,0.17,0.43,0.60,0.20,1.78,2.53,13,33,46,16,80,40,70,29,-1,3.9,4.6,8.4,AS-8Norris-8
2008-09,34,ANA,NHL,82,16,0.13,0.45,0.59,0.19,1.07,2.39,12,38,50,17,123,59,106,42,0,3.5,4.5,7.9,AS-17
2009-10,35,PHI,NHL,82,18,0.12,0.55,0.67,0.21,0.96,2.13,11,47,58,19,118,46,85,35,22,4.6,6.8,11.4,AS-5Hart-23Norris-5
2010-11,36,PHI,NHL,50,8,0.08,0.42,0.50,0.16,0.88,2.24,4,22,26,8,66,24,54,19,7,1.9,2.3,4.2,AS-18Hart-23Norris-10
2011-12,37,PHI,NHL,13,3,0.08,0.85,0.92,0.27,0.77,1.77,1,12,13,4,18,9,13,5,1,1.1,0.5,1.7,
9 yrs,,STL,NHL,598,120,0.14,0.45,0.60,0.20,1.56,2.23,92,298,390,131,889,297,680,228,140,29.5,47.4,76.9,
3 yrs,,ANA,NHL,220,49,0.16,0.52,0.68,0.22,1.30,2.47,39,117,156,53,319,157,231,95,26,12.6,15.4,28.0,
3 yrs,,PHI,NHL,145,29,0.10,0.53,0.63,0.20,0.92,2.14,16,81,97,31,202,79,152,59,30,7.6,9.6,17.3,
2 yrs,,HAR,NHL,124,15,0.08,0.27,0.35,0.12,1.35,2.16,14,38,52,18,121,33,154,51,-15,2.0,5.6,7.6,
1 yr,,EDM,NHL,80,18,0.15,0.55,0.70,0.23,0.93,1.94,12,42,54,18,128,73,93,40,2,4.0,5.6,9.6,
Career,,,NHL,1167,230,0.13,0.46,0.60,0.20,1.36,2.24,173,576,749,251,1659,639,1310,473,183,55.7,83.7,139.4,
