
,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,Point Shares,Point Shares,Point Shares,
Season,Age,Tm,Lg,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Awards
1988-89,19,QUE,NHL,70,23,0.33,0.56,0.89,0.32,0.34,2.11,19,32,51,19,96,59,85,12,-36,3.3,0.1,3.5,Calder-8
1989-90,20,QUE,NHL,80,38,0.49,0.79,1.28,0.48,0.34,2.93,33,53,86,32,139,58,132,11,-40,7.3,0.2,7.6,Byng-5
1990-91,21,QUE,NHL,80,43,0.60,0.76,1.36,0.54,0.30,3.06,43,54,97,38,132,48,164,54,-26,9.5,0.3,9.8,AS-3Byng-3Hart-7
1991-92,22,QUE,NHL,69,34,0.42,0.94,1.36,0.49,0.29,3.14,26,57,83,30,124,46,97,24,5,7.1,1.1,8.1,Byng-2Selke-24
1992-93,23,QUE,NHL,78,42,0.62,0.73,1.35,0.54,0.51,3.38,39,46,85,34,150,76,104,27,-3,8.6,0.7,9.3,Byng-4
1993-94,24,QUE,NHL,84,33,0.33,0.76,1.10,0.39,0.21,3.32,25,58,83,29,121,49,105,25,-8,6.9,0.7,7.6,Byng-6
1994-95,25,QUE,NHL,47,22,0.40,0.91,1.32,0.47,0.64,3.34,33,74,107,38,82,36,49,10,7,5.6,0.5,6.1,AS-4
1995-96,26,COL,NHL,82,47,0.62,0.84,1.46,0.57,0.54,4.13,49,66,115,45,159,74,85,14,14,11.6,1.1,12.8,AS-4Byng-5Hart-6Smythe-1
1996-97,27,COL,NHL,65,26,0.34,0.80,1.14,0.40,0.52,4.02,23,54,77,27,107,58,67,8,-10,6.4,0.5,6.9,AS-7Byng-7Hart-14
1997-98,28,COL,NHL,64,24,0.42,0.56,0.98,0.38,0.78,3.97,31,41,72,28,90,45,53,8,0,6.7,0.8,7.5,
1998-99,29,COL,NHL,73,36,0.56,0.75,1.32,0.50,0.40,3.49,47,62,109,43,133,54,77,21,23,8.9,2.7,11.6,AS-4Byng-5Hart-15
1999-00,30,COL,NHL,60,30,0.47,0.88,1.35,0.49,0.47,4.03,31,57,88,32,113,37,52,6,30,7.4,2.7,10.1,AS-3Byng-8Hart-14Selke-10
2000-01,31,COL,NHL,82,46,0.66,0.78,1.44,0.56,0.37,4.05,59,69,128,51,158,65,69,21,45,12.2,3.6,15.9,AS-1Byng-1Hart-1Pearson-1Selke-2
2001-02,32,COL,NHL,82,28,0.32,0.65,0.96,0.34,0.22,3.17,30,60,90,33,101,37,62,10,12,6.3,2.9,9.2,AS-1Byng-2Hart-7Selke-9
2002-03,33,COL,NHL,58,22,0.45,0.55,1.00,0.38,0.41,3.28,30,35,65,26,79,30,51,6,4,5.4,1.2,6.7,Byng-11Selke-13
2003-04,34,COL,NHL,81,32,0.41,0.67,1.07,0.39,0.52,3.12,39,62,101,38,106,46,65,16,11,8.6,2.2,10.8,AS-1Byng-9Hart-7Selke-15
2005-06,36,COL,NHL,82,32,0.39,0.67,1.06,0.39,0.73,3.21,32,53,85,32,120,47,75,12,10,6.9,2.1,8.9,AS-6Byng-15
2006-07,37,COL,NHL,82,36,0.44,0.78,1.22,0.44,0.56,3.15,38,64,102,38,136,66,78,10,2,9.1,1.7,10.8,AS-4Byng-3Hart-8Selke-15
2007-08,38,COL,NHL,44,14,0.30,0.61,0.91,0.32,0.45,2.82,14,29,43,16,57,25,39,3,-4,3.1,0.8,3.9,Byng-13
2008-09,39,COL,NHL,15,4,0.13,0.67,0.80,0.25,0.40,3.07,2,10,12,4,17,9,18,4,-6,0.7,0.1,0.8,
20 yrs,,QUECOL,NHL,1378,611,0.45,0.74,1.19,0.44,0.45,3.35,643,1036,1679,633,2220,965,1527,302,30,141.7,26.1,167.8,
Career,,,NHL,1378,611,0.45,0.74,1.19,0.44,0.45,3.35,643,1036,1679,633,2220,965,1527,302,30,141.7,26.1,167.8,
