
,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,
Season,Age,Tm,Lg,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,E+/-,OPS,DPS,PS,Awards
2000-01,20,VAN,NHL,82,10,0.11,0.24,0.35,0.13,0.46,1.20,10,21,31,11,51,17,38,2,-2,,0.9,1.1,1.9,
2001-02,21,VAN,NHL,82,14,0.20,0.24,0.44,0.17,0.44,0.95,18,23,41,16,51,16,34,8,9,,2.7,1.3,4.0,
2002-03,22,VAN,NHL,78,13,0.10,0.40,0.50,0.16,0.49,1.04,9,34,43,14,68,31,31,3,9,,2.0,1.4,3.4,
2003-04,23,VAN,NHL,76,14,0.14,0.41,0.55,0.19,0.42,1.30,13,36,49,17,67,20,24,0,23,,2.9,2.0,4.9,Selke-55
2005-06,25,VAN,NHL,82,25,0.22,0.70,0.91,0.30,0.68,1.38,18,55,73,25,97,43,57,14,11,,5.1,2.0,7.1,
2006-07,26,VAN,NHL,82,24,0.12,0.87,0.99,0.29,0.80,1.63,10,71,81,25,105,45,43,2,19,,4.8,2.8,7.7,Selke-33
2007-08,27,VAN,NHL,82,25,0.18,0.74,0.93,0.30,0.68,1.72,17,65,82,27,104,46,56,4,6,,5.4,2.2,7.6,Byng-55
2008-09,28,VAN,NHL,82,28,0.27,0.73,1.00,0.34,0.59,1.74,23,61,84,29,107,38,55,8,22,,6.2,2.5,8.7,Byng-35
2009-10,29,VAN,NHL,82,38,0.35,1.01,1.37,0.46,0.59,2.02,32,87,119,41,134,35,67,3,35,,10.6,2.9,13.5,AS-1Byng-7Hart-1Ross-1Selke-49
2010-11,30,VAN,NHL,82,30,0.23,0.91,1.15,0.37,0.49,1.91,21,80,101,33,133,56,52,1,26,,7.8,2.7,10.5,AS-8AS-1Byng-11Hart-10Selke-23
2011-12,31,VAN,NHL,82,25,0.17,0.82,0.99,0.31,0.63,1.38,16,74,90,29,108,40,46,1,23,,6.1,2.6,8.7,AS-5Byng-21Hart-9Selke-30
2012-13,32,VAN,NHL,48,15,0.23,0.71,0.94,0.32,0.50,1.46,21,64,85,29,58,17,23,1,19,,3.8,1.9,5.6,AS-9Byng-24Hart-14Selke-24
2013-14,33,VAN,NHL,70,17,0.16,0.56,0.71,0.24,0.60,1.39,12,43,55,18,69,25,49,8,3,,2.9,2.0,4.9,
2014-15,34,VAN,NHL,82,24,0.22,0.67,0.89,0.30,0.27,1.23,20,60,80,27,103,39,57,4,11,5.7,6.0,2.1,8.1,AS-11Byng-14Selke-37
2015-16,35,VAN,NHL,74,18,0.15,0.59,0.74,0.24,0.32,1.34,12,49,61,20,73,27,48,2,0,0.9,3.6,1.7,5.4,
Career,,,NHL,1166,319,0.19,0.64,0.83,0.27,0.53,1.45,252,823,1075,362,1328,495,680,61,214,6.6,70.9,31.2,102.0,
