
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2001 ★,27,SEA,AL,157,738,692,127,242,34,8,8,69,56,14,30,53,.350,.381,.457,.838,126,316,3,8,4,4,10,*9/D,ASMVP-1RoY-1GGSS
2002 ★,28,SEA,AL,157,728,647,111,208,27,8,8,51,31,15,68,62,.321,.388,.425,.813,120,275,8,5,3,5,27,*9/D8,ASMVP-17GG
2003 ★,29,SEA,AL,159,725,679,111,212,29,8,13,62,34,8,36,69,.312,.352,.436,.788,112,296,3,6,3,1,7,*9,ASMVP-23GG
2004 ★,30,SEA,AL,161,762,704,101,262,24,5,8,60,36,11,49,63,.372,.414,.455,.869,130,320,6,4,2,3,19,*9/D,ASMVP-7GG
2005 ★,31,SEA,AL,162,739,679,111,206,21,12,15,68,33,8,48,66,.303,.350,.436,.786,113,296,5,4,2,6,23,*9/D,ASGG
2006 ★,32,SEA,AL,161,752,695,110,224,20,9,9,49,45,2,49,71,.322,.370,.416,.786,106,289,2,5,1,2,16,*98/D,ASMVP-15GG
2007 ★,33,SEA,AL,161,736,678,111,238,22,7,6,68,37,8,49,77,.351,.396,.431,.827,122,292,7,3,4,2,13,*8/D,ASMVP-8GGSS
2008 ★,34,SEA,AL,162,749,686,103,213,20,7,6,42,43,4,51,65,.310,.361,.386,.747,102,265,8,5,3,4,12,*98/D,ASMVP-20GG
2009 ★,35,SEA,AL,146,678,639,88,225,31,4,11,46,26,9,32,71,.352,.386,.465,.851,129,297,1,4,2,1,15,*9/D,ASMVP-9GGSS
2010 ★,36,SEA,AL,162,732,680,74,214,30,3,6,43,42,9,45,86,.315,.359,.394,.754,113,268,3,3,3,1,13,*9/D,ASMVP-17GG
2011,37,SEA,AL,161,721,677,80,184,22,3,5,47,40,7,39,69,.272,.310,.335,.645,86,227,11,0,1,4,13,*9D,
2012,38,TOT,AL,162,663,629,77,178,28,6,9,55,29,7,22,61,.283,.307,.390,.696,93,245,12,2,5,5,5,*97/8D,
2012,38,SEA,AL,95,423,402,49,105,15,5,4,28,15,2,17,40,.261,.288,.353,.642,82,142,10,0,0,4,4,9/D,
2012,38,NYY,AL,67,240,227,28,73,13,1,5,27,14,5,5,21,.322,.340,.454,.794,113,103,2,2,5,1,1,97/8D,
2013,39,NYY,AL,150,555,520,57,136,15,3,7,35,20,4,26,63,.262,.297,.342,.639,77,178,6,1,6,2,4,*98/7D,
2014,40,NYY,AL,143,385,359,42,102,13,2,1,22,15,3,21,68,.284,.324,.340,.664,89,122,3,1,2,2,1,*9/78D,
2015,41,MIA,NL,153,438,398,45,91,5,6,1,21,11,5,31,51,.229,.282,.279,.561,56,111,8,0,5,4,1,*97/8D1,
2016,42,MIA,NL,10,20,18,3,7,1,0,0,1,1,0,2,0,.389,.450,.444,.894,147,8,1,0,0,0,0,/89,
16 Yrs,16 Yrs,16 Yrs,16 Yrs,2367,10121,9380,1351,2942,342,91,113,739,499,114,598,995,.314,.356,.406,.762,108,3805,87,51,46,46,179,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,693,642,92,201,23,6,8,51,34,8,41,68,.314,.356,.406,.762,108,260,6,3,3,3,12,,
,,,,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
SEA (12 yrs),SEA (12 yrs),SEA (12 yrs),SEA (12 yrs),1844,8483,7858,1176,2533,295,79,99,633,438,97,513,792,.322,.366,.418,.784,113,3283,67,47,28,37,172,,
NYY (3 yrs),NYY (3 yrs),NYY (3 yrs),NYY (3 yrs),360,1180,1106,127,311,41,6,13,84,49,12,52,152,.281,.314,.364,.679,88,403,11,4,13,5,6,,
MIA (2 yrs),MIA (2 yrs),MIA (2 yrs),MIA (2 yrs),163,458,416,48,98,6,6,1,22,12,5,33,51,.236,.289,.286,.575,60,119,9,0,5,4,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL (14 yrs),AL (14 yrs),AL (14 yrs),AL (14 yrs),2204,9663,8964,1303,2844,336,85,112,717,487,109,565,944,.317,.360,.411,.771,110,3686,78,51,41,42,178,,
NL (2 yrs),NL (2 yrs),NL (2 yrs),NL (2 yrs),163,458,416,48,98,6,6,1,22,12,5,33,51,.236,.289,.286,.575,60,119,9,0,5,4,1,,
