
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
2001,22,SDG,RB,21,16,16,339,1236,10,54,3.6,77.3,21.2,74,59,367,6.2,0,27,3.7,22.9,1603,10,8,10
2002*,23,SDG,RB,21,16,16,372,1683,14,76,4.5,105.2,23.3,101,79,489,6.2,1,30,4.9,30.6,2172,15,3,15
2003,24,SDG,RB,21,16,16,313,1645,13,73,5.3,102.8,19.6,137,100,725,7.3,4,73,6.3,45.3,2370,17,2,19
2004*+,25,SDG,RB,21,15,15,339,1335,17,42,3.9,89.0,22.6,66,53,441,8.3,1,74,3.5,29.4,1776,18,6,18
2005*,26,SDG,RB,21,16,16,339,1462,18,62,4.3,91.4,21.2,77,51,370,7.3,2,41,3.2,23.1,1832,20,3,18
2006*+,27,SDG,RB,21,16,16,348,1815,28,85,5.2,113.4,21.8,80,56,508,9.1,3,51,3.5,31.8,2323,31,2,26
2007*+,28,SDG,RB,21,16,16,315,1474,15,49,4.7,92.1,19.7,86,60,475,7.9,3,36,3.8,29.7,1949,18,0,18
2008,29,SDG,RB,21,16,16,292,1110,11,45,3.8,69.4,18.3,77,52,426,8.2,1,32,3.3,26.6,1536,12,1,13
2009,30,SDG,RB,21,14,14,223,730,12,36,3.3,52.1,15.9,30,20,154,7.7,0,36,1.4,11.0,884,12,2,7
2010,31,NYJ,RB,21,15,13,219,914,6,31,4.2,60.9,14.6,79,52,368,7.1,0,21,3.5,24.5,1282,6,3,8
2011,32,NYJ,rb,21,14,1,75,280,1,20,3.7,20.0,5.4,61,42,449,10.7,2,74,3.0,32.1,729,3,0,5
Career,,,,,170,155,3174,13684,145,85,4.3,80.5,18.7,868,624,4772,7.6,17,74,3.7,28.1,18456,162,30,157
9 yrs,,SDG,,,141,141,2880,12490,138,85,4.3,88.6,20.4,728,530,3955,7.5,15,74,3.8,28.0,16445,153,27,144
2 yrs,,NYJ,,,29,14,294,1194,7,31,4.1,41.2,10.1,140,94,817,8.7,2,74,3.2,28.2,2011,9,3,13
