
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2005,22,DET,AL,0,2,.000,7.15,2,2,0,0,0,0,11.1,15,9,9,1,5,0,7,1,0,1,54,61,4.52,1.765,11.9,0.8,4.0,5.6,1.40,
2006,23,DET,AL,17,9,.654,3.63,30,30,0,1,1,0,186.0,187,78,75,21,60,1,124,6,1,5,776,125,4.35,1.328,9.0,1.0,2.9,6.0,2.07,CYA-7MVP-15RoY-1
2007 ★,24,DET,AL,18,6,.750,3.66,32,32,0,1,1,0,201.2,181,88,82,20,67,3,183,19,2,17,866,125,3.99,1.230,8.1,0.9,3.0,8.2,2.73,ASCYA-5
2008,25,DET,AL,11,17,.393,4.84,33,33,0,1,0,0,201.0,195,119,108,18,87,8,163,14,3,6,880,92,4.18,1.403,8.7,0.8,3.9,7.3,1.87,
2009 ★,26,DET,AL,19,9,.679,3.45,35,35,0,3,1,0,240.0,219,99,92,20,63,5,269,6,4,8,982,131,2.80,1.175,8.2,0.8,2.4,10.1,4.27,ASCYA-3MVP-20
2010 ★,27,DET,AL,18,9,.667,3.37,33,33,0,4,0,0,224.1,190,89,84,14,71,0,219,6,2,11,925,124,2.97,1.163,7.6,0.6,2.8,8.8,3.08,ASCYA-11
2011 ★,28,DET,AL,24,5,.828,2.40,34,34,0,4,2,0,251.0,174,73,67,24,57,0,250,3,2,7,969,172,2.99,0.920,6.2,0.9,2.0,9.0,4.39,ASCYA-1MVP-1
2012 ★,29,DET,AL,17,8,.680,2.64,33,33,0,6,1,0,238.1,192,81,70,19,60,2,239,5,1,2,956,161,2.94,1.057,7.3,0.7,2.3,9.0,3.98,ASCYA-2MVP-8
2013 ★,30,DET,AL,13,12,.520,3.46,34,34,0,0,0,0,218.1,212,94,84,19,75,1,217,4,1,3,925,120,3.28,1.315,8.7,0.8,3.1,8.9,2.89,AS
2014,31,DET,AL,15,12,.556,4.54,32,32,0,0,0,0,206.0,223,114,104,18,65,1,159,5,1,5,893,85,3.74,1.398,9.7,0.8,2.8,6.9,2.45,
2015,32,DET,AL,5,8,.385,3.38,20,20,0,1,1,0,133.1,113,56,50,13,32,1,113,3,0,2,535,117,3.49,1.088,7.6,0.9,2.2,7.6,3.53,
2016,33,DET,AL,1,1,.500,7.16,3,3,0,0,0,0,16.1,20,13,13,3,6,0,15,0,0,0,71,53,4.69,1.592,11.0,1.7,3.3,8.3,2.50,
12 Yrs,12 Yrs,12 Yrs,12 Yrs,158,98,.617,3.54,321,321,0,21,7,0,2127.2,1921,913,838,190,648,22,1958,72,17,67,8832,120,3.44,1.207,8.1,0.8,2.7,8.3,3.02,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,17,10,.617,3.54,34,34,0,2,1,0,225,203,97,89,20,69,2,207,8,2,7,935,120,3.44,1.207,8.1,0.8,2.7,8.3,3.02,
