Season,League,Subleague,Player,Age,Team,Position,Height,Weight,Hometown,College,Salary,Latitude,Longitude
2015,NBA,,Stephen Curry,26,GSW,PG,75,185,"Akron, OH",Davidson College,10629213,41.281445,-81.519005
2014,NBA,,Kevin Durant,25,OKC,"SF, SG",81,240,"Washington, DC",University of Texas at Austin,17832627,38.907192,-77.036871
2013,NBA,,LeBron James,28,MIA,"SF, PF, SG",80,250,"Akron, OH",High School Only,19067500,41.081445,-81.619005
2012,NBA,,LeBron James,27,MIA,"SF, PF, SG",80,250,"Akron, OH",High School Only,17545000,41.081445,-81.619005
2011,NBA,,Derrick Rose,22,CHI,PG,75,190,"Chicago, IL",University of Memphis,5546160,41.878114,-87.629798
2010,NBA,,LeBron James,25,CLE,"SF, PF, SG",80,250,"Akron, OH",High School Only,15779912,41.081445,-81.619005
2009,NBA,,LeBron James,24,CLE,"SF, PF, SG",80,250,"Akron, OH",High School Only,14410581,41.081445,-81.619005
2008,NBA,,Kobe Bryant,29,LAL,"SG, SF",78,212,"Philadelpia, PA",High School Only,19490625,39.952584,-75.465222
2007,NBA,,Dirk Nowitzki,28,DAL,"PF, C",84,245,"Murzburg, Germany",High School Only,15101622,49.791304,9.953355
2006,NBA,,Steve Nash,31,PHO,PG,75,195,"Johannesburg, South Africa",Santa Clara University,9625000,-26.204103,28.047305
2005,NBA,,Steve Nash,30,PHO,PG,75,195,"Johannesburg, South Africa",Santa Clara University,5750000,-26.204103,28.047305
2004,NBA,,Kevin Garnett,27,MIN,"PF, C, SF",83,240,"Mauldin, SC",High School Only,28000000,34.77873,-82.310119
2003,NBA,,Tim Duncan,26,SAS,"PF, C",83,250,"St. Croix, U.S Virgin Islands",Wake Forest University,12072000,17.724597,-64.834799
2002,NBA,,Tim Duncan,25,SAS,"PF, C",83,250,"St. Croix, U.S Virgin Islands",Wake Forest University,10865000,17.724597,-64.834799
2001,NBA,,Allen Iverson,25,PHI,"SG, PG",72,165,"Hampton, VA",Georgetown University,10130000,37.029869,-76.345222
2000,NBA,,Shaquille ONeal,27,LAL,C,85,325,"Newark, NJ",Louisiana State University,17142858,40.735657,-74.372367
2015,NFL,,Cam Newton,33,CP,QB,78,260,"College Park, GA",Auburn University,13000000,33.653443,-84.449372
2014,NFL,,Aaron Rodgers,31,GBP,QB,74,223,"Chico, CA",UC at Berkeley,17550000,39.728494,-121.837478
2013,NFL,,Peyton Manning,37,DB,QB,77,230,"New Orleans, LA",University of Tennessee,17500000,30.151066,-90.171532
2012,NFL,,Adrian Peterson,27,MV,RB,74,217,"Palestine, TX",Oklahoma State University,12705000,31.762115,-95.630789
2011,NFL,,Aaron Rodgers,28,GBP,QB,74,223,"Chico, CA",UC at Berkeley,7750000,39.728494,-121.837478
2010,NFL,,Tom Brady,33,NEP,QB,76,225,"San Mateo, CA",University of Michigan,17320000,37.562992,-122.325525
2009,NFL,,Peyton Manning,33,IC,QB,77,230,"New Orleans, LA",University of Tennessee,23216666,30.151066,-90.171532
2008,NFL,,Peyton Manning,32,IC,QB,77,230,"New Orleans, LA",University of Tennessee,20716666,30.151066,-90.171532
2007,NFL,,Tom Brady,30,NEP,QB,76,225,"San Mateo, CA",University of Michigan,7340000,37.562992,-122.325525
2006,NFL,,LaDainian Tomlinson,27,SDC,RB,61,221,"Rosebud, TX",Texas Christian University,7350000,31.072961,-96.978599
2005,NFL,,Shaun Alexander,28,SS,RB,71,225,"Florence, KY",Alabama State University,6323000,38.99895,-84.626611
2004,NFL,,Peyton Manning,28,IC,QB,77,230,"New Orleans, LA",University of Tennessee,6285000,30.151066,-90.171532
2003,NFL,,Peyton Manning,27,IC,QB,77,230,"New Orleans, LA",University of Tennessee,15375333,30.151066,-90.171532
