Year,Cmp_Percentage,TD,Int%,Y_A,Y_G,Rate,Rushing_TD,Rushing_Y_A,Rushing_Y_G,Receiving_TD,Receiving_Y_G
2015,63,25.6,2.4,7.3,243.8,88.4,5.6,4.1,43.52,6.4,48.76
2014,62.6,25.6,2.5,7.2,236.8,87.1,5.6,4.2,44.52,6.4,47.36
2013,61.2,25.6,2.8,7.1,235.6,84.1,6.4,4.2,45.16,6.4,47.12
2012,60.9,24,2.6,7.1,231.3,83.8,6.4,4.3,46.36,6,46.26
2011,60.1,24,2.9,7.2,229.7,82.5,6.4,4.3,46.84,6,45.94
2010,60.8,24,3,7,221.6,82.2,6.4,4.2,45.8,6,44.32
2009,60.9,22.4,3.1,7,218.5,81.2,6.4,4.2,46.68,5.6,43.7
2008,61,20.8,2.8,6.9,211.3,81.5,7.2,4.2,46.4,5.2,42.26
2007,61.2,22.4,3.1,6.9,214.3,80.9,6.4,4.1,44.36,5.6,42.86
2006,59.8,20.8,3.2,6.9,204.8,78.5,6.4,4.2,46.92,5.2,40.96
2005,59.5,20.8,3.1,6.8,203.5,78.2,6.4,4,45,5.2,40.7
2004,59.8,22.4,3.2,7.1,210.5,80.9,6.4,4.1,46.64,5.6,42.1
2003,58.8,20.8,3.3,6.6,200.4,76.6,6.4,4.2,47.16,5.2,40.08
2002,59.6,22.4,3.1,6.7,212.2,78.6,7.2,4.2,46.44,5.6,42.44
2001,59,20.8,3.4,6.8,205.8,76.6,5.6,4.1,44.72,5.2,41.16
2000,58.2,20.8,3.3,6.7,206.9,76.2,6.4,4.1,45.04,5.2,41.38
