Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2001 ★,27,SEA,AL,157,738,692,127,242,34,8,8,69,56,14,30,53,0.35,0.381,0.457,0.838,126,316,3,8,4,4,10,*9/D,ASMVP-1RoY-1GGSS
2002 ★,28,SEA,AL,157,728,647,111,208,27,8,8,51,31,15,68,62,0.321,0.388,0.425,0.813,120,275,8,5,3,5,27,*9/D8,ASMVP-17GG
2003 ★,29,SEA,AL,159,725,679,111,212,29,8,13,62,34,8,36,69,0.312,0.352,0.436,0.788,112,296,3,6,3,1,7,*9,ASMVP-23GG
2004 ★,30,SEA,AL,161,762,704,101,262,24,5,8,60,36,11,49,63,0.372,0.414,0.455,0.869,130,320,6,4,2,3,19,*9/D,ASMVP-7GG
2005 ★,31,SEA,AL,162,739,679,111,206,21,12,15,68,33,8,48,66,0.303,0.35,0.436,0.786,113,296,5,4,2,6,23,*9/D,ASGG
2006 ★,32,SEA,AL,161,752,695,110,224,20,9,9,49,45,2,49,71,0.322,0.37,0.416,0.786,106,289,2,5,1,2,16,*98/D,ASMVP-15GG
2007 ★,33,SEA,AL,161,736,678,111,238,22,7,6,68,37,8,49,77,0.351,0.396,0.431,0.827,122,292,7,3,4,2,13,*8/D,ASMVP-8GGSS
2008 ★,34,SEA,AL,162,749,686,103,213,20,7,6,42,43,4,51,65,0.31,0.361,0.386,0.747,102,265,8,5,3,4,12,*98/D,ASMVP-20GG
2009 ★,35,SEA,AL,146,678,639,88,225,31,4,11,46,26,9,32,71,0.352,0.386,0.465,0.851,129,297,1,4,2,1,15,*9/D,ASMVP-9GGSS
2010 ★,36,SEA,AL,162,732,680,74,214,30,3,6,43,42,9,45,86,0.315,0.359,0.394,0.754,113,268,3,3,3,1,13,*9/D,ASMVP-17GG
2011,37,SEA,AL,161,721,677,80,184,22,3,5,47,40,7,39,69,0.272,0.31,0.335,0.645,86,227,11,0,1,4,13,*9D,
2012,38,TOT,AL,162,663,629,77,178,28,6,9,55,29,7,22,61,0.283,0.307,0.39,0.696,93,245,12,2,5,5,5,*97/8D,
2012,38,SEA,AL,95,423,402,49,105,15,5,4,28,15,2,17,40,0.261,0.288,0.353,0.642,82,142,10,0,0,4,4,9/D,
2012,38,NYY,AL,67,240,227,28,73,13,1,5,27,14,5,5,21,0.322,0.34,0.454,0.794,113,103,2,2,5,1,1,97/8D,
2013,39,NYY,AL,150,555,520,57,136,15,3,7,35,20,4,26,63,0.262,0.297,0.342,0.639,77,178,6,1,6,2,4,*98/7D,
2014,40,NYY,AL,143,385,359,42,102,13,2,1,22,15,3,21,68,0.284,0.324,0.34,0.664,89,122,3,1,2,2,1,*9/78D,
2015,41,MIA,NL,153,438,398,45,91,5,6,1,21,11,5,31,51,0.229,0.282,0.279,0.561,56,111,8,0,5,4,1,*97/8D1,
2016,42,MIA,NL,10,20,18,3,7,1,0,0,1,1,0,2,0,0.389,0.45,0.444,0.894,147,8,1,0,0,0,0,/89,
