Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1995,24,OAK,AL,54,210,176,27,45,7,0,6,25,2,1,28,31,0.256,0.364,0.398,0.761,107,70,4,3,1,2,0,53/D,
1996,25,OAK,AL,140,598,536,84,156,40,1,20,79,0,1,51,95,0.291,0.355,0.481,0.836,109,258,15,5,1,5,3,375D/9,
1997,26,OAK,AL,142,588,519,66,152,41,2,20,81,0,1,55,89,0.293,0.362,0.495,0.857,126,257,11,6,0,8,3,73D,
1998,27,OAK,AL,153,657,562,92,166,28,0,27,110,2,2,81,102,0.295,0.384,0.489,0.873,130,275,16,5,0,9,7,*3/D,
1999,28,OAK,AL,158,695,575,115,181,36,1,33,123,1,1,105,106,0.315,0.422,0.553,0.975,153,318,11,7,0,8,6,*3D/5,MVP-8
2000 ★,29,OAK,AL,152,664,510,108,170,29,1,43,137,2,0,137,96,0.333,0.476,0.647,1.123,187,330,9,9,0,8,6,*3D,ASMVP-1
2001 ★,30,OAK,AL,154,671,520,109,178,47,2,38,120,2,0,129,83,0.342,0.477,0.66,1.137,199,343,17,13,0,9,24,*3D,ASMVP-2SS
2002 ★,31,NYY,AL,155,689,560,120,176,34,1,41,122,2,2,109,112,0.314,0.435,0.598,1.034,172,335,18,15,0,5,4,3D,ASMVP-5SS
2003 ★,32,NYY,AL,156,690,535,97,134,25,0,41,107,2,1,129,140,0.25,0.412,0.527,0.939,148,282,9,21,0,5,9,3D,ASMVP-13
2004 ★,33,NYY,AL,80,322,264,33,55,9,0,12,40,0,1,47,62,0.208,0.342,0.379,0.72,90,100,5,8,0,3,1,3D,AS
2005,34,NYY,AL,139,545,417,74,113,14,0,32,87,0,0,108,109,0.271,0.44,0.535,0.975,161,223,7,19,0,1,5,3D,MVP-18
2006,35,NYY,AL,139,579,446,92,113,25,0,37,113,2,0,110,106,0.253,0.413,0.558,0.971,148,249,10,16,0,7,12,D3,MVP-14
2007,36,NYY,AL,83,303,254,31,60,8,0,14,39,1,0,40,66,0.236,0.356,0.433,0.79,107,110,1,8,0,1,2,D3,
2008,37,NYY,AL,145,565,458,68,113,19,1,32,96,2,1,76,111,0.247,0.373,0.502,0.876,128,230,6,22,0,9,5,*3D,
2009,38,TOT,MLB,102,359,293,43,59,14,0,13,51,0,0,57,80,0.201,0.343,0.382,0.725,92,112,6,7,0,2,1,3D,
2009,38,OAK,AL,83,328,269,39,52,13,0,11,40,0,0,50,72,0.193,0.332,0.364,0.697,85,98,6,7,0,2,1,3D,
2009,38,COL,NL,19,31,24,4,7,1,0,2,11,0,0,7,8,0.292,0.452,0.583,1.035,159,14,0,0,0,0,0,/3,
2010,39,COL,NL,87,222,176,17,43,9,0,6,35,2,0,35,47,0.244,0.378,0.398,0.776,98,70,5,6,0,5,5,3/D,
2011,40,COL,NL,64,152,131,20,34,6,0,13,32,0,0,17,45,0.26,0.355,0.603,0.958,140,79,1,3,0,1,0,3/D,
2012,41,COL,NL,60,113,89,7,20,4,0,1,8,0,0,20,24,0.225,0.372,0.303,0.675,75,27,4,2,0,2,2,3/D,
2013,42,CLE,AL,71,216,186,21,34,8,0,9,31,0,1,23,56,0.183,0.282,0.371,0.653,83,69,8,4,0,3,0,D,
2014,43,CLE,AL,26,70,60,3,8,2,0,2,5,0,0,9,12,0.133,0.257,0.267,0.524,48,16,3,1,0,0,2,D,
