Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1996,21,MON,NL,9,27,27,2,5,0,0,1,1,0,0,0,3,0.185,0.185,0.296,0.481,24,8,1,0,0,0,0,/98,
1997,22,MON,NL,90,354,325,44,98,22,2,11,40,3,4,19,39,0.302,0.35,0.483,0.833,117,157,11,7,0,3,2,9/8/2016,RoY-6
1998,23,MON,NL,159,677,623,108,202,37,7,38,109,11,9,42,95,0.324,0.371,0.589,0.96,150,367,15,7,0,5,13,*9,MVP-13
1999 ★,24,MON,NL,160,674,610,102,193,37,5,42,131,14,7,55,62,0.316,0.378,0.6,0.978,146,366,18,7,0,2,14,*9,ASMVP-11SS
2000 ★,25,MON,NL,154,641,571,101,197,28,11,44,123,9,10,58,74,0.345,0.41,0.664,1.074,162,379,15,8,0,4,23,*9/D,ASMVP-6SS
2001 ★,26,MON,NL,159,671,599,107,184,45,4,34,108,37,16,60,88,0.307,0.377,0.566,0.943,139,339,24,9,0,3,24,*9,ASMVP-24
2002 ★,27,MON,NL,161,709,614,106,206,37,2,39,111,40,20,84,70,0.336,0.417,0.593,1.01,160,364,20,6,0,5,32,*9,ASMVP-4SS
2003,28,MON,NL,112,467,394,71,130,20,3,25,79,9,5,63,53,0.33,0.426,0.586,1.012,156,231,18,6,0,4,22,*9,MVP-17
2004 ★,29,ANA,AL,156,680,612,124,206,39,2,39,126,15,3,52,74,0.337,0.391,0.598,0.989,157,366,19,8,0,8,14,*9D,ASMVP-1SS
2005 ★,30,LAA,AL,141,594,520,95,165,29,2,32,108,13,1,61,48,0.317,0.394,0.565,0.959,154,294,16,8,0,5,26,*9D,ASMVP-3SS
2006 ★,31,LAA,AL,156,665,607,92,200,34,1,33,116,15,5,50,68,0.329,0.382,0.552,0.934,138,335,16,4,0,4,25,*9D,ASMVP-9SS
2007 ★,32,LAA,AL,150,660,574,89,186,45,1,27,125,2,3,71,62,0.324,0.403,0.547,0.95,147,314,19,9,0,6,28,9D,ASMVP-3SS
2008,33,LAA,AL,143,600,541,85,164,31,3,27,91,5,3,51,77,0.303,0.365,0.521,0.886,130,282,27,4,0,4,16,9D,MVP-14
2009,34,LAA,AL,100,407,383,59,113,16,1,15,50,2,1,19,56,0.295,0.334,0.46,0.794,107,176,16,4,0,1,3,D/9,
2010 ★,35,TEX,AL,152,643,593,83,178,27,1,29,115,4,5,35,60,0.3,0.345,0.496,0.841,119,294,19,9,0,6,5,*D9/7,ASMVP-11SS
2011,36,BAL,AL,145,590,562,60,163,30,1,13,63,2,2,17,56,0.29,0.317,0.416,0.733,98,234,23,7,0,4,3,*D,
