Year,Age,Tm,Pos,No,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Rushing_Y_A,Rushing_Y_G,Rushing_A_G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y_G,Receiving_TD,Receiving_Lng,Receiving_R_G,Receiving_Y_G,YScm,RRTD,Fmb,AV
2005,22,GNB,QB,12,3,0,2,7,0,8,3.5,2.3,0.7,,,,,,,,,7,0,2,
2006,23,GNB,QB,12,2,0,2,11,0,6,5.5,5.5,1,,,,,,,,,11,0,1,
2007,24,GNB,QB,12,2,0,7,29,0,13,4.1,14.5,3.5,,,,,,,,,29,0,0,
2008,25,GNB,QB,12,16,16,56,207,4,21,3.7,12.9,3.5,,,,,,,,,207,4,10,
2009,26,GNB,QB,12,16,16,58,316,5,35,5.4,19.8,3.6,,,,,,,,,316,5,10,
2010,27,GNB,QB,12,15,15,64,356,4,27,5.6,23.7,4.3,,,,,,,,,356,4,4,
2011,28,GNB,QB,12,15,15,60,257,3,25,4.3,17.1,4,,,,,,,,,257,3,5,
2012,29,GNB,QB,12,16,16,54,259,2,27,4.8,16.2,3.4,1,1,-1,-1,0,-1,0.1,-0.1,258,2,5,
2013,30,GNB,QB,12,9,9,30,120,0,18,4,13.3,3.3,,,,,,,,,120,0,5,
2014,31,GNB,QB,12,16,16,43,269,2,19,6.3,16.8,2.7,,,,,,,,,269,2,12,
2015,32,GNB,QB,12,16,16,58,344,1,18,5.9,21.5,3.6,,,,,,,,,344,1,8,
