Year,Age,Tm,Pos,No,G,GS,QBrec,Cmp,Att,Cmp_Percentage,Yds,TD,TD_Percentage,Int,Int_Percentage,Lng,Y_A,AY_A,Y_C,Y_G,Rate,QBR,Sk,Yds,NY_A,ANY_A,Sk_Percentage,4QC,GWD,AV
1998,27,STL,QB,10,1,0,,4,11,36.4,39,0,0,0,0,21,3.5,3.5,9.8,39,47.2,,0,0,3.55,3.55,0,,,0
1999,28,STL,QB,13,16,16,13-3-0,325,499,65.1,4353,41,8.2,13,2.6,75,8.7,9.2,13.4,272.1,109.2,,29,201,7.86,8.31,5.5,1,2,19
2000,29,STL,QB,13,11,11,8/3/2000,235,347,67.7,3429,21,6.1,18,5.2,85,9.9,8.8,14.6,311.7,98.3,,20,115,9.03,7.97,5.4,1,2,15
2001,30,STL,QB,13,16,16,14-2-0,375,546,68.7,4830,36,6.6,22,4,65,8.8,8.4,12.9,301.9,101.4,,38,233,7.87,7.41,6.5,1,2,20
2002,31,STL,QB,13,7,6,0-6-0,144,220,65.5,1431,3,1.4,11,5,43,6.5,4.5,9.9,204.4,67.4,,21,130,5.4,3.59,8.7,,,2
2003,32,STL,QB,13,2,1,0-1-0,38,65,58.5,365,1,1.5,1,1.5,37,5.6,5.2,9.6,182.5,72.9,,6,38,4.61,4.25,8.5,,,1
2004,33,NYG,QB,13,10,9,5/4/2000,174,277,62.8,2054,6,2.2,4,1.4,62,7.4,7.2,11.8,205.4,86.5,,39,196,5.88,5.69,12.3,0,1,7
2005,34,ARI,QB,13,10,10,2/8/2000,242,375,64.5,2713,11,2.9,9,2.4,63,7.2,6.7,11.2,271.3,85.8,,23,158,6.42,5.95,5.8,2,2,7
2006,35,ARI,QB,13,6,5,1/4/2000,108,168,64.3,1377,6,3.6,5,3,64,8.2,7.6,12.8,229.5,89.3,33.85,14,104,6.99,6.42,7.7,,,5
2007,36,ARI,QB,13,14,11,5/6/2000,281,451,62.3,3417,27,6,17,3.8,62,7.6,7.1,12.2,244.1,89.8,58.31,20,140,6.96,6.48,4.2,1,1,10
2008,37,ARI,QB,13,16,16,9/7/2000,401,598,67.1,4583,30,5,14,2.3,79,7.7,7.6,11.4,286.4,96.9,66.63,26,182,7.05,7,4.2,2,2,16
2009,38,ARI,QB,13,15,15,10/5/2000,339,513,66.1,3753,26,5.1,14,2.7,45,7.3,7.1,11.1,250.2,93.2,55.46,24,172,6.67,6.46,4.5,1,2,11
