Year,Age,Tm,Pos,No,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Rushing_Y_A,Rushing_Y_G,Rushing_A_G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y_G,Receiving_TD,Receiving_Lng,Receiving_R_G,Receiving_Y_G,YScm,RRTD,Fmb,AV
1994,21,IND,RB,28,16,16,314,1282,11,52,4.1,80.1,19.6,74,52,522,10,1,85,3.3,32.6,1804,12,5,16
1995,22,IND,RB,28,16,16,289,1078,11,40,3.7,67.4,18.1,74,56,475,8.5,3,34,3.5,29.7,1553,14,8,13
1996,23,IND,RB,28,13,13,198,587,7,43,3,45.2,15.2,80,56,428,7.6,0,30,4.3,32.9,1015,7,2,9
1997,24,IND,RB,28,16,16,264,1054,7,45,4,65.9,16.5,73,47,471,10,1,58,2.9,29.4,1525,8,5,12
1998,25,IND,RB,28,16,15,324,1319,6,68,4.1,82.4,20.3,106,86,908,10.6,4,78,5.4,56.8,2227,10,3,18
1999,26,STL,RB,28,16,16,253,1381,7,58,5.5,86.3,15.8,103,87,1048,12,5,57,5.4,65.5,2429,12,2,25
2000,27,STL,RB,28,14,14,253,1359,18,36,5.4,97.1,18.1,113,81,830,10.2,8,72,5.8,59.3,2189,26,0,22
2001,28,STL,RB,28,14,14,260,1382,12,71,5.3,98.7,18.6,104,83,765,9.2,9,65,5.9,54.6,2147,21,3,22
2002,29,STL,RB,28,14,10,212,953,8,44,4.5,68.1,15.1,102,80,537,6.7,2,40,5.7,38.4,1490,10,4,9
2003,30,STL,RB,28,11,11,209,818,10,52,3.9,74.4,19,61,45,290,6.4,1,30,4.1,26.4,1108,11,0,9
2004,31,STL,RB,28,14,14,195,774,3,40,4,55.3,13.9,65,50,310,6.2,1,25,3.6,22.1,1084,4,2,7
2005,32,STL,RB,28,16,1,65,292,0,20,4.5,18.3,4.1,58,44,291,6.6,1,18,2.8,18.2,583,1,2,4
