Year,Age,Tm,Pos,No,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Rushing_Y_A,Rushing_Y_G,Rushing_A_G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y_G,Receiving_TD,Receiving_Lng,Receiving_R_G,Receiving_Y_G,YScm,RRTD,Fmb,AV
1988,23,MIN,QB,16,3,0,4,29,0,15,7.3,9.7,1.3,,,,,,,,,29,0,0,
1990,25,MIN,QB,16,14,12,52,268,1,27,5.2,19.1,3.7,,,,,,,,,268,1,10,
1991,26,MIN,QB,16,15,11,43,236,2,42,5.5,15.7,2.9,,1,0,0,0,0,0.1,0,236,2,2,
1992,27,MIN,QB,16,12,12,45,187,0,14,4.2,15.6,3.8,,,,,,,,,187,0,5,
1993,28,WAS,QB,16,8,4,21,88,1,12,4.2,11,2.6,,,,,,,,,88,1,3,
1995,30,KAN,QB,12,2,0,8,25,1,12,3.1,12.5,4,,,,,,,,,25,1,0,
1996,31,KAN,QB,12,4,3,12,81,0,19,6.8,20.3,3,,,,,,,,,81,0,1,
1997,32,KAN,QB,12,9,6,33,109,2,13,3.3,12.1,3.7,,,,,,,,,109,2,5,
1998,33,KAN,QB,12,12,10,44,168,3,21,3.8,14,3.7,,,,,,,,,168,3,9,
1999,34,OAK,QB,12,16,16,46,298,2,39,6.5,18.6,2.9,1,1,-3,-3,0,-3,0.1,-0.2,295,2,8,
2000,35,OAK,QB,12,16,16,89,529,4,23,5.9,33.1,5.6,,,,,,,,,529,4,9,
2001,36,OAK,QB,12,16,16,63,231,2,17,3.7,14.4,3.9,,,,,,,,,231,2,13,
2002,37,OAK,QB,12,16,16,50,156,3,24,3.1,9.8,3.1,,,,,,,,,156,3,9,
2003,38,OAK,QB,12,7,7,6,18,0,6,3,2.6,0.9,,,,,,,,,18,0,2,
2004,39,OAK,QB,12,3,3,5,26,0,20,5.2,8.7,1.7,,,,,,,,,26,0,3,
