Year,Age,Tm,Pos,No,G,GS,QBrec,Cmp,Att,Cmp_Percentage,Yds,TD,TD_Percentage,Int,Int_Percentage,Lng,Y_A,AY_A,Y_C,Y_G,Rate,QBR,Sk,Yds,NY_A,ANY_A,Sk_Percentage,4QC,GWD,AV
1995,22,HOU,QB,9,4,2,2-0-0,41,80,51.3,569,3,3.8,1,1.3,53,7.1,7.3,13.9,142.3,81.7,,6,63,5.88,6.06,7,,,2
1996,23,HOU,QB,9,9,4,2/2/2000,88,143,61.5,1197,6,4.2,4,2.8,83,8.4,8,13.6,133,90.6,,9,45,7.58,7.18,5.9,,,5
1997,24,TEN,QB,9,16,16,8/8/2000,216,415,52,2665,14,3.4,13,3.1,55,6.4,5.7,12.3,166.6,70.4,,31,190,5.55,4.87,7,1,1,15
1998,25,TEN,QB,9,16,16,8/8/2000,289,492,58.7,3228,15,3,10,2,47,6.6,6.3,11.2,201.8,80.1,,33,176,5.81,5.53,6.3,1,2,15
1999,26,TEN,QB,9,11,11,9/2/2000,187,331,56.5,2179,12,3.6,8,2.4,65,6.6,6.2,11.7,198.1,78.6,,16,74,6.07,5.72,4.6,2,2,10
2000,27,TEN,QB,9,16,15,12/3/2000,248,396,62.6,2847,15,3.8,13,3.3,56,7.2,6.5,11.5,177.9,83.2,,24,141,6.44,5.76,5.7,3,3,13
2001,28,TEN,QB,9,15,15,7/8/2000,264,431,61.3,3350,21,4.9,12,2.8,71,7.8,7.5,12.7,223.3,90.2,,37,251,6.62,6.37,7.9,1,4,13
2002,29,TEN,QB,9,16,16,11/5/2000,301,492,61.2,3387,22,4.5,15,3,55,6.9,6.4,11.3,211.7,84,,21,121,6.37,5.91,4.1,4,4,15
2003,30,TEN,QB,9,14,14,10/4/2000,250,400,62.5,3215,24,6,7,1.8,73,8,8.5,12.9,229.6,100.4,,19,108,7.42,7.81,4.5,1,2,14
2004,31,TEN,QB,9,8,8,3/5/2000,129,215,60,1343,8,3.7,9,4.2,37,6.2,5.1,10.4,167.9,73.1,,13,95,5.47,4.4,5.7,1,1,3
2005,32,TEN,QB,9,14,14,4/10/2000,292,476,61.3,3161,16,3.4,11,2.3,57,6.6,6.3,10.8,225.8,82.4,,20,134,6.1,5.75,4,0,1,10
2006,33,BAL,QB,9,16,16,13-3-0,295,468,63,3050,16,3.4,12,2.6,87,6.5,6,10.3,190.6,82.5,56.78,14,84,6.15,5.7,2.9,3,3,10
2007,34,BAL,QB,9,6,6,2/4/2000,133,205,64.9,1113,2,1,4,2,30,5.4,4.7,8.4,185.5,73.9,25.95,11,85,4.76,4.11,5.1,,,1
