Year,Age,Tm,Pos,No,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Rushing_Y_A,Rushing_Y_G,Rushing_A_G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y_G,Receiving_TD,Receiving_Lng,Receiving_R_G,Receiving_Y_G,YScm,RRTD,Fmb,AV
1995,22,HOU,QB,9,4,2,11,38,0,13,3.5,9.5,2.8,,,,,,,,,38,0,3,
1996,23,HOU,QB,9,9,4,31,169,2,24,5.5,18.8,3.4,,,,,,,,,169,2,7,
1997,24,TEN,QB,9,16,16,101,674,8,47,6.7,42.1,6.3,,,,,,,,,674,8,16,
1998,25,TEN,QB,9,16,16,77,559,4,71,7.3,34.9,4.8,,,,,,,,,559,4,5,
1999,26,TEN,QB,9,11,11,72,337,8,38,4.7,30.6,6.5,,,,,,,,,337,8,3,
2000,27,TEN,QB,9,16,15,72,403,0,25,5.6,25.2,4.5,,,,,,,,,403,0,12,
2001,28,TEN,QB,9,15,15,75,414,5,24,5.5,27.6,5,,,,,,,,,414,5,5,
2002,29,TEN,QB,9,16,16,82,440,3,26,5.4,27.5,5.1,,,,,,,,,440,3,9,
2003,30,TEN,QB,9,14,14,38,138,4,23,3.6,9.9,2.7,1,1,4,4,0,4,0.1,0.3,142,4,12,
2004,31,TEN,QB,9,8,8,23,128,1,23,5.6,16,2.9,,,,,,,,,128,1,5,
2005,32,TEN,QB,9,14,14,32,139,1,19,4.3,9.9,2.3,,,,,,,,,139,1,7,
2006,33,BAL,QB,9,16,16,45,119,1,19,2.6,7.4,2.8,,,,,,,,,119,1,7,
2007,34,BAL,QB,9,6,6,10,32,0,13,3.2,5.3,1.7,,,,,,,,,32,0,8,
