Season,Age,Tm,Lg,GP,GS,W,L,T_O,GA,SA,SV,SV_Percentage,GAA,SO,MIN,QS,QS_Percentage,RBS,GA_Percentage,GSAA,GPS,G,A,PTS,PIM,Awards
1995-96,19,MTL,NHL,1,,0,0,0,1,2,1,0.5,6.67,0,9,,,,,,-0.1,0,0,0,0,
1996-97,20,MTL,NHL,16,,5,6,2,53,508,455,0.896,3.87,0,821,,,,110,-4.6,2.3,0,0,0,0,
1998-99,22,MTL,NHL,18,,4,12,0,50,406,356,0.877,3.29,1,913,,,,134,-12.56,1,0,0,0,0,
1999-00,23,MTL,NHL,30,,12,13,2,58,717,659,0.919,2.1,5,1655,,,,85,10.55,5.5,0,0,0,0,
2000-01,24,MTL,NHL,59,,20,29,5,141,1546,1405,0.909,2.57,2,3298,,,,94,8.56,10.4,1,0,1,6,
2001-02,25,MTL,NHL,67,,30,24,10,136,1972,1836,0.931,2.11,7,3864,,,,75,45.91,17.4,0,2,2,2,AS-2Hart-1Vezina-1
2002-03,26,MTL,NHL,57,,20,31,6,165,1797,1632,0.908,2.9,2,3419,,,,101,-1.18,10.8,0,2,2,6,
2003-04,27,MTL,NHL,67,,33,28,5,150,1860,1710,0.919,2.27,6,3961,,,,91,15.65,13.2,0,3,3,4,AS-9Hart-19
2005-06,29,TOT,NHL,43,,18,18,6,137,1158,1021,0.882,3.41,0,2410,,,,120,-22.67,4.6,0,1,1,2,
2006-07,30,COL,NHL,33,,13,15,1,95,870,775,0.891,3.26,0,1748,,,,115,-12.56,3.9,0,1,1,6,
2007-08,31,COL,NHL,53,52,28,21,3,123,1367,1244,0.91,2.44,3,3028,31,0.596,9,99,1.18,8.6,0,2,2,2,
2008-09,32,WSH,NHL,57,55,32,17,5,157,1572,1415,0.9,2.87,2,3287,26,0.473,12,109,-13.15,7.9,0,3,3,6,
2009-10,33,WSH,NHL,47,42,30,7,7,121,1352,1231,0.911,2.81,1,2586,25,0.595,7,101,-1.04,8,0,2,2,0,Masterton-1
2010-11,34,MIN,NHL,32,29,15,11,3,81,963,882,0.916,2.71,1,1793,16,0.552,2,97,2.89,6.1,0,0,0,2,
2011-12,35,FLA,NHL,53,51,22,16,11,125,1502,1377,0.917,2.46,3,3049,32,0.627,6,96,4.87,9.7,0,0,0,2,
2012-13,36,FLA,NHL,15,14,4,6,3,42,391,349,0.893,3.29,0,766,5,0.357,5,122,-7.56,1.5,0,0,0,2,
