Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2006,22,BOS,AL,31,98,89,5,17,4,0,2,7,0,1,7,7,0.191,0.258,0.303,0.561,42,27,1,1,1,0,0,4/6/2016,
2007,23,BOS,AL,139,581,520,86,165,39,1,8,50,7,1,47,42,0.317,0.38,0.442,0.823,112,230,8,7,5,2,1,*4/D,RoY-1
2008 ★,24,BOS,AL,157,726,653,118,213,54,2,17,83,20,1,50,52,0.326,0.376,0.493,0.869,123,322,17,7,7,9,1,*4,ASMVP-1GGSS
2009 ★,25,BOS,AL,154,714,626,115,185,48,1,15,72,20,8,74,45,0.296,0.371,0.447,0.819,110,280,19,5,3,6,3,*4,AS
2010 ★,26,BOS,AL,75,351,302,53,87,24,1,12,41,9,1,37,38,0.288,0.367,0.493,0.86,127,149,7,4,2,6,1,4,AS
2011,27,BOS,AL,159,731,635,102,195,37,3,21,91,26,8,86,85,0.307,0.387,0.474,0.861,131,301,12,1,2,7,6,*4,MVP-9GG
2012,28,BOS,AL,141,623,563,81,163,39,3,15,65,20,6,48,60,0.29,0.347,0.449,0.797,114,253,9,5,1,6,3,*4/D,
2013 ★,29,BOS,AL,160,724,641,91,193,42,2,9,84,17,5,73,75,0.301,0.372,0.415,0.787,115,266,24,3,0,7,4,*4,ASMVP-7GG
2014,30,BOS,AL,135,609,551,72,153,33,0,7,53,6,6,51,75,0.278,0.337,0.376,0.712,99,207,14,1,0,6,1,*4,GG
2015,31,BOS,AL,93,425,381,46,111,19,1,12,42,2,2,38,51,0.291,0.356,0.441,0.797,113,168,6,2,1,3,1,4/D,
2016,32,BOS,AL,14,66,62,10,18,3,0,1,5,0,0,4,11,0.29,0.333,0.387,0.72,101,24,5,0,0,0,0,*4,
