Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1992,24,TOT,MLB,102,343,305,52,73,21,2,11,50,2,3,27,76,0.239,0.312,0.43,0.741,105,131,5,7,0,4,0,45/36,
1992,24,TOR,AL,65,222,192,36,46,13,1,8,35,2,1,20,47,0.24,0.324,0.443,0.767,110,85,3,6,0,4,0,54/3,
1992,24,NYM,NL,37,121,113,16,27,8,1,3,15,0,2,7,29,0.239,0.289,0.407,0.696,97,46,2,1,0,0,0,4/56,
1993,25,NYM,NL,140,544,496,65,134,24,0,21,80,4,4,30,88,0.27,0.32,0.446,0.765,105,221,11,8,6,4,2,*45/6,
1994,26,NYM,NL,107,452,415,53,121,24,5,14,68,1,4,23,84,0.292,0.341,0.475,0.816,111,197,7,10,1,3,3,*4,
1995,27,NYM,NL,125,514,472,65,131,22,3,20,65,3,3,29,89,0.278,0.327,0.464,0.791,110,219,9,8,1,4,3,*4,
1996,28,TOT,MLB,128,477,437,61,124,27,1,12,55,6,4,31,78,0.284,0.33,0.432,0.762,101,189,8,2,1,6,1,53/4D,
1996,28,NYM,NL,89,361,335,45,97,20,1,9,39,4,3,21,56,0.29,0.331,0.436,0.766,105,146,7,1,1,3,1,5,
1996,28,CLE,AL,39,116,102,16,27,7,0,3,16,2,1,10,22,0.265,0.328,0.422,0.749,89,43,1,1,0,3,0,3/45D,
1997,29,SFG,NL,155,651,580,90,145,38,2,29,121,11,3,48,133,0.25,0.316,0.472,0.789,105,274,14,13,0,10,6,*43,MVP-8
1998,30,SFG,NL,137,594,526,94,156,37,3,31,128,9,4,48,110,0.297,0.359,0.555,0.914,142,292,16,9,1,10,4,*4/3,MVP-9
1999 ★,31,SFG,NL,138,585,511,86,148,40,2,23,101,13,6,61,112,0.29,0.366,0.511,0.877,125,261,12,5,0,8,3,*4/3,ASMVP-26
2000 ★,32,SFG,NL,159,695,587,114,196,41,7,33,125,12,9,90,107,0.334,0.424,0.596,1.021,162,350,17,9,0,9,6,*43,ASMVP-1SS
2001 ★,33,SFG,NL,159,696,607,84,181,49,6,22,106,7,6,65,96,0.298,0.369,0.507,0.877,131,308,11,11,0,13,4,*43,ASSS
2002,34,SFG,NL,152,682,623,102,195,42,2,37,108,5,1,52,101,0.313,0.368,0.565,0.933,147,352,20,4,0,3,3,*4/3,MVP-6SS
2003,35,HOU,NL,130,552,505,77,150,39,1,22,93,6,2,39,85,0.297,0.351,0.509,0.86,119,257,13,5,0,3,2,*4,
2004 ★,36,HOU,NL,145,606,540,96,156,34,8,27,107,7,3,49,96,0.289,0.348,0.531,0.88,123,287,23,6,0,11,3,*4/D,ASMVP-13
2005 ★,37,LAD,NL,149,637,553,100,160,36,0,29,105,6,2,72,85,0.289,0.377,0.512,0.889,133,283,19,8,0,4,8,*43,ASMVP-19SS
2006,38,LAD,NL,115,473,407,61,119,27,3,14,68,1,2,55,69,0.292,0.385,0.477,0.861,119,194,9,8,0,3,8,4/3/2016,
2007,39,LAD,NL,136,562,494,78,149,36,1,20,79,1,3,57,61,0.302,0.375,0.5,0.875,123,247,17,5,0,6,4,*4,
2008,40,LAD,NL,121,474,440,42,123,23,1,12,59,0,1,25,52,0.28,0.327,0.418,0.745,96,184,13,7,0,2,1,*4/3,
