Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2004,21,MIN,AL,35,122,107,18,33,8,1,6,17,1,0,11,14,0.308,0.369,0.57,0.939,138,61,1,1,0,3,0,2/D,
2005,22,MIN,AL,131,554,489,61,144,26,2,9,55,13,1,61,64,0.294,0.372,0.411,0.783,107,201,9,1,0,3,12,*2D,
2006 ★,23,MIN,AL,140,608,521,86,181,36,4,13,84,8,3,79,54,0.347,0.429,0.507,0.936,144,264,24,1,0,7,21,*2D,ASMVP-6SS
2007,24,MIN,AL,109,471,406,62,119,27,3,7,60,7,1,57,51,0.293,0.382,0.426,0.808,118,173,11,3,2,3,10,2D,
2008 ★,25,MIN,AL,146,633,536,98,176,31,4,9,85,1,1,84,50,0.328,0.413,0.451,0.864,134,242,21,1,1,11,8,*2/D,ASMVP-4GGSS
2009 ★,26,MIN,AL,138,606,523,94,191,30,1,28,96,4,1,76,63,0.365,0.444,0.587,1.031,171,307,13,2,0,5,14,*2D,ASMVP-1GGSS
2010 ★,27,MIN,AL,137,584,510,88,167,43,1,9,75,1,4,65,53,0.327,0.402,0.469,0.871,140,239,19,3,0,6,14,*2D,ASMVP-8GGSS
2011,28,MIN,AL,82,333,296,38,85,15,0,3,30,0,0,32,38,0.287,0.36,0.368,0.729,102,109,9,3,0,2,7,23D/9,
2012 ★,29,MIN,AL,147,641,545,81,174,31,4,10,85,8,4,90,88,0.319,0.416,0.446,0.861,140,243,23,2,1,3,10,2D3,ASMVP-19
2013 ★,30,MIN,AL,113,508,445,62,144,35,0,11,47,0,1,61,89,0.324,0.404,0.476,0.88,142,212,7,0,0,2,7,2D/3,ASSS
2014,31,MIN,AL,120,518,455,60,126,27,2,4,55,3,0,60,96,0.277,0.361,0.371,0.732,107,169,12,1,0,2,12,3D,
2015,32,MIN,AL,158,666,592,69,157,34,2,10,66,2,1,67,112,0.265,0.338,0.38,0.718,97,225,22,1,1,5,12,*3D,
2016,33,MIN,AL,16,72,56,6,19,3,1,1,5,0,0,14,5,0.339,0.472,0.482,0.954,172,27,1,1,0,1,2,*3/D,
