Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2007,23,CIN,NL,24,89,84,11,27,7,0,4,17,1,0,5,15,0.321,0.36,0.548,0.907,127,46,0,0,0,0,1,3/7/2016,
2008,24,CIN,NL,151,589,526,69,156,32,3,24,84,7,5,59,102,0.297,0.368,0.506,0.874,125,266,7,2,0,2,9,*3,RoY-2
2009,25,CIN,NL,131,544,469,82,151,38,1,25,84,4,1,70,106,0.322,0.414,0.567,0.981,156,266,8,4,0,1,10,*3,MVP-22
2010 ★,26,CIN,NL,150,648,547,106,177,36,2,37,113,16,5,91,125,0.324,0.424,0.6,1.024,171,328,11,7,0,3,8,*3,ASMVP-1
2011 ★,27,CIN,NL,161,719,599,101,185,40,3,29,103,8,6,110,129,0.309,0.416,0.531,0.947,155,318,20,4,0,6,15,*3,ASMVP-6GG
2012 ★,28,CIN,NL,111,475,374,59,126,44,0,14,56,5,3,94,85,0.337,0.474,0.567,1.041,177,212,8,5,0,2,18,*3,ASMVP-14
2013 ★,29,CIN,NL,162,726,581,101,177,30,3,24,73,6,3,135,138,0.305,0.435,0.491,0.926,156,285,15,4,0,6,19,*3,ASMVP-6
2014,30,CIN,NL,62,272,220,32,56,16,0,6,23,1,1,47,49,0.255,0.39,0.409,0.799,125,90,5,3,0,2,2,3,
2015,31,CIN,NL,158,695,545,95,171,33,2,29,80,11,3,143,135,0.314,0.459,0.541,1,175,295,11,5,0,2,15,*3,MVP-3
2016,32,CIN,NL,16,66,58,5,10,1,0,1,7,0,0,7,14,0.172,0.258,0.241,0.499,38,14,3,0,0,1,2,*3,
