Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2004,24,PHI,NL,19,42,39,5,11,5,0,2,5,0,0,2,13,0.282,0.333,0.564,0.897,122,22,2,1,0,0,0,/3,
2005,25,PHI,NL,88,348,312,52,90,17,2,22,63,0,1,33,100,0.288,0.356,0.567,0.924,133,177,6,1,0,2,8,3,RoY-1
2006 ★,26,PHI,NL,159,704,581,104,182,25,1,58,149,0,0,108,181,0.313,0.425,0.659,1.084,167,383,7,9,0,6,37,*3,ASMVP-1SS
2007,27,PHI,NL,144,648,529,94,142,26,0,47,136,1,0,107,199,0.268,0.392,0.584,0.976,144,309,13,5,0,7,35,*3/D,MVP-5
2008,28,PHI,NL,162,700,610,105,153,26,4,48,146,1,1,81,199,0.251,0.339,0.543,0.881,125,331,11,3,0,6,17,*3/D,MVP-2
2009 ★,29,PHI,NL,160,703,616,105,172,37,4,45,141,8,1,75,186,0.279,0.36,0.571,0.931,141,352,11,6,0,6,8,*3/D,ASMVP-3
2010 ★,30,PHI,NL,143,620,550,87,152,23,5,31,108,1,1,59,157,0.276,0.353,0.505,0.859,127,278,14,8,0,3,11,*3/D,ASMVP-10
2011,31,PHI,NL,152,644,557,81,141,30,1,33,116,1,0,75,172,0.253,0.346,0.488,0.835,126,272,10,7,0,5,16,*3/D,MVP-10
2012,32,PHI,NL,71,292,260,28,57,11,0,14,56,0,0,25,99,0.219,0.295,0.423,0.718,91,110,8,4,0,3,7,3,
2013,33,PHI,NL,80,317,286,34,76,20,2,11,43,0,0,23,95,0.266,0.319,0.465,0.784,115,133,6,2,0,6,4,3,
2014,34,PHI,NL,153,648,569,65,127,18,1,23,95,0,0,67,190,0.223,0.31,0.38,0.69,92,216,10,7,0,5,7,*3/D,
2015,35,PHI,NL,129,503,467,53,107,29,1,23,77,0,0,27,138,0.229,0.277,0.443,0.72,94,207,11,5,0,3,2,*3/D,
2016,36,PHI,NL,16,56,48,5,9,0,0,4,8,0,0,6,16,0.188,0.268,0.438,0.705,88,21,0,0,0,2,1,*3,
